block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,type,year
Uttroula,uReShtGh7bZ,p,2019-04-01,Balrampur,uS0pNSxN3sS,Gonda Division,JSY,% JSY Incentive,indicator_36,0.14723756906077348,JSY,2020.0
Uttroula,uReShtGh7bZ,p,2019-04-01,Balrampur,uS0pNSxN3sS,Gonda Division,JSY,% JSY Incentive,indicator_36,0.14731896075179654,JSY,2020.0
Lalganj Mirzapur,udEnBPS78Sf,p,2019-04-01,Mirzapur,UAicdMLyuk4,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.3545621555419473,JSY,2020.0
Dubealiya,I6SfaoTpBWQ,p,2019-04-01,Basti,J1P16zQEOUT,Basti Division,JSY,% JSY Incentive,indicator_36,0.4826254826254826,JSY,2020.0
Hapur,MoftawJk2Oh,p,2019-04-01,Hapur,CZ8kLjgqvSH,Meerut Division,JSY,% JSY Incentive,indicator_36,0.4143646408839779,JSY,2020.0
Brahmpur,P39P0iQKIWH,p,2019-04-01,Gorakhpur,vR85cHdsw1w,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.19719208679004468,JSY,2020.0
Kushinagar Fajilnagar,B3CnhXWWije,p,2019-04-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.1788756388415673,JSY,2020.0
Billahaur,oiZGLrWMq7u,p,2019-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.4727214377406932,JSY,2020.0
Bhawalkheda,FHp906GIA29,p,2019-04-01,Shahjahanpur,GaiLSoQq1ue,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.2719132893496701,JSY,2020.0
Deoria Bankata,EmKRIMSIXim,p,2019-04-01,Deoria,Tf9b9qcbghH,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.3227107704719645,JSY,2020.0
Tanda,c228prMIirC,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.21822948797038866,JSY,2020.0
Tulsipur,q6Maei9E55U,p,2019-04-01,Balrampur,uS0pNSxN3sS,Gonda Division,JSY,% JSY Incentive,indicator_36,0.348747591522158,JSY,2020.0
Mihipurwa,jo7VYHdzhDi,p,2019-04-01,Bahraich,iE0E3nLioFr,Gonda Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Azamgarh DHQ,MVd5w4juglR,p,2019-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Azamgarh Palhani,dIVl43wpljo,p,2019-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,JSY,% JSY Incentive,indicator_36,0.39400921658986177,JSY,2020.0
Auraiya Auriya,baHOn9wfzJ1,p,2019-04-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.4365553602811951,JSY,2020.0
Shivrajpur,krPd5gR8BjY,p,2019-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.4113333333333333,JSY,2020.0
Shahbad,Bgu9MPGC8NW,p,2019-04-01,Rampur,IU006h5U7jj,Moradabad Division,JSY,% JSY Incentive,indicator_36,0.454156871126309,JSY,2020.0
Nigohi,oSPqI1SUnmV,p,2019-04-01,Shahjahanpur,GaiLSoQq1ue,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.3958398991490703,JSY,2020.0
Saidnagar,Afucmep9Fdq,p,2019-04-01,Rampur,IU006h5U7jj,Moradabad Division,JSY,% JSY Incentive,indicator_36,0.011282660332541569,JSY,2020.0
Bulandshahar Arniya,BWEaFP6tBWO,p,2019-04-01,Bulandshahar,ogBt4gWCiem,Meerut Division,JSY,% JSY Incentive,indicator_36,0.1891891891891892,JSY,2020.0
Jamalpur,Dga9ieikVr5,p,2019-04-01,Mirzapur,UAicdMLyuk4,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.31392818280739937,JSY,2020.0
Kushinagar Nabu Naurangia,vgRr0JIJR7M,p,2019-04-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.009183673469387756,JSY,2020.0
Fatehpur Teliyani,sGcpaNGqN8u,p,2019-04-01,Fatehpur,ibLiLcaKzw2,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.3629392971246007,JSY,2020.0
Sikhar,moqnzHZCfQg,p,2019-04-01,Mirzapur,UAicdMLyuk4,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Mohamdi Kheri,SiLZVlguB9v,p,2019-04-01,Lakhimpur Kheri,d9ZuMopgX29,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.1856206194890346,JSY,2020.0
Agra Fatehpur Sikhri,tZd8rrGLhlU,p,2019-04-01,Agra,N5WWbRtsjWp,Agra Division,JSY,% JSY Incentive,indicator_36,0.4460724460724461,JSY,2020.0
Etawah Badpura,DQKs9hxWhSr,p,2019-04-01,Etawah,Pm0jLk6EAiE,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.030547676194632337,JSY,2020.0
Etawah Jasventnagar,L3tm8ZCQ4VU,p,2019-04-01,Etawah,Pm0jLk6EAiE,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.36723700887198985,JSY,2020.0
Muzaffarnagar Badhara,hiCT4rPYCVr,p,2019-04-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,JSY,% JSY Incentive,indicator_36,0.26646706586826346,JSY,2020.0
Sridattganj,n9AVoLqOsfk,p,2019-04-01,Balrampur,uS0pNSxN3sS,Gonda Division,JSY,% JSY Incentive,indicator_36,0.2486002239641657,JSY,2020.0
Agra Pinhat,sGuuKBoA9Rh,p,2019-04-01,Agra,N5WWbRtsjWp,Agra Division,JSY,% JSY Incentive,indicator_36,0.3808073115003808,JSY,2020.0
Chibramau,lqFb50V1HFl,p,2019-04-01,Kannauj,IhQbDYRiF8w,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.16124067716348994,JSY,2020.0
Ayodhya,Oh9BFAFKGE5,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.4185375901132853,JSY,2020.0
Vikramjot,r1D91q65KwQ,p,2019-04-01,Basti,J1P16zQEOUT,Basti Division,JSY,% JSY Incentive,indicator_36,0.4354375896700144,JSY,2020.0
Rajgarh,fi3XI1IhyQO,p,2019-04-01,Mirzapur,UAicdMLyuk4,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.3634875153499795,JSY,2020.0
Bhamora,HZQTgHfOykd,p,2019-04-01,Bareilly,vVqY3DPcpHf,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.2371749824314828,JSY,2020.0
Dhanapur,F1Ddi7jawvX,p,2019-04-01,Chandauli,ClbehnmwSec,Varanasi Division,JSY,% JSY Incentive,indicator_36,0.17201757350456234,JSY,2020.0
Bhanwapur,pWd385fXS6s,p,2019-04-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,JSY,% JSY Incentive,indicator_36,0.4639175257731959,JSY,2020.0
Phoolbhar,kKTBu6UpSYl,p,2019-04-01,Lakhimpur Kheri,d9ZuMopgX29,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.08215767634854773,JSY,2020.0
Paniyara,k0SXa6DYHlU,p,2019-04-01,Maharajganj,AcnMkNGgc3S,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.3192108667529107,JSY,2020.0
Manikpur,lNpqSHtjFu3,p,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,Chitrakoot Division,JSY,% JSY Incentive,indicator_36,0.07449664429530202,JSY,2020.0
Tarabganj,QW8N7nXhELz,p,2019-04-01,Gonda,y8WarEkWCul,Gonda Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Mandhata,ZjQLMtbMM7E,p,2019-04-01,Pratapgarh,fz7bJo3egPX,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.4333958724202627,JSY,2020.0
Nawabganj,s5vWj2I9NyF,p,2019-04-01,Farrukhabad,uEEwlAGZXWW,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.3884892086330936,JSY,2020.0
Sirsiya,rUTBm0fGdMX,p,2019-04-01,Shrawasti,oyTwneTbWDx,Gonda Division,JSY,% JSY Incentive,indicator_36,0.2010406811731315,JSY,2020.0
Jhansi DHQ,o2TR0og834Q,p,2019-04-01,Jhansi,Mq751wBMqGF,Jhansi Division,JSY,% JSY Incentive,indicator_36,0.1585666293393057,JSY,2020.0
Agra Akola,iqYgALY5y5A,p,2019-04-01,Agra,N5WWbRtsjWp,Agra Division,JSY,% JSY Incentive,indicator_36,0.4188345473465141,JSY,2020.0
Azamgarh Thekma,QeJhMnDGzrC,p,2019-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,JSY,% JSY Incentive,indicator_36,0.21548507462686567,JSY,2020.0
Behjam,qoqWCWNVx1j,p,2019-04-01,Lakhimpur Kheri,d9ZuMopgX29,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.36893459915611815,JSY,2020.0
Kushinagar DHQ,IiY5fP1UuFV,p,2019-04-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.1954641103577273,JSY,2020.0
Pihani,lr3CfswaZMq,p,2019-04-01,Hardoi,MTIkUw5q5pX,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.24159486399729685,JSY,2020.0
Siddhaur,IdkC83lgdBj,p,2019-04-01,Barabanki,tzH6nJu9SwS,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.2345718901453958,JSY,2020.0
Gonda,jkV9lhxAuuK,p,2019-04-01,Aligarh,frD2HOp3wAs,Alligarh Division,JSY,% JSY Incentive,indicator_36,0.4869955156950673,JSY,2020.0
Sitapur DHQ,ql65TcOIaDt,p,2019-04-01,Sitapur,XxaOowFtkiJ,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.2567796610169492,JSY,2020.0
Ballia Bansdih,G4HRu37srJN,p,2019-04-01,Ballia,oNDvGBE5fLq,Azamgarh Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Bhiti,RiDtZZsck6S,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.37531328320802,JSY,2020.0
Lalitpur Bar,qMddUgnDzYX,p,2019-04-01,Lalitpur,fagfcadhxej,Jhansi Division,JSY,% JSY Incentive,indicator_36,0.08373138522056757,JSY,2020.0
Sahaswan,QsfJqnMcwds,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.14876619918338366,JSY,2020.0
Karchhana,INQHpWL0ZBk,p,2019-04-01,Prayagraj,tXgaew1Pd2Y,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.3010780287474333,JSY,2020.0
Bijnor Jalilpur,EdO6OYkMy4n,p,2019-04-01,Bijnor,uCYjHW7FuGG,Moradabad Division,JSY,% JSY Incentive,indicator_36,0.13233674272226592,JSY,2020.0
Khajni,i8SnEC5fIxD,p,2019-04-01,Gorakhpur,vR85cHdsw1w,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.24273858921161826,JSY,2020.0
Maya Bazar,a2rjHSkns9X,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.035402097902097904,JSY,2020.0
Kanpur Dehat Serwenkheda,OnFJhLr5Af4,p,2019-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Kanpur Dehat Amrodha,cIW3SsdBXzj,p,2019-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.41352506801399147,JSY,2020.0
Hapur DHQ,Mt3m2kDHXcq,p,2019-04-01,Hapur,CZ8kLjgqvSH,Meerut Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Sahughat,knCO4emeZY1,p,2019-04-01,Basti,J1P16zQEOUT,Basti Division,JSY,% JSY Incentive,indicator_36,0.5095706156233833,JSY,2020.0
Kanpur Dehat Derapur,Dt0dgcTvEpm,p,2019-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.4597560975609756,JSY,2020.0
Unnav Hasanganj,g9AzjVVJKJh,p,2019-04-01,Unnav,aT03mfdlNiF,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.3856749311294766,JSY,2020.0
Azamgarh Fhoolpur,qzyZ63I1bIh,p,2019-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,JSY,% JSY Incentive,indicator_36,0.38351498637602177,JSY,2020.0
Kalyanpur,laYVNN7jnnN,p,2019-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.3835216915785637,JSY,2020.0
Talgram,zFNrX1gsn6L,p,2019-04-01,Kannauj,IhQbDYRiF8w,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.11180832857957787,JSY,2020.0
Mankapur,yRVebIQF3pX,p,2019-04-01,Gonda,y8WarEkWCul,Gonda Division,JSY,% JSY Incentive,indicator_36,0.4724669603524229,JSY,2020.0
Mainpuri Sultanganj,Ri9nZlNp7vJ,p,2019-04-01,Mainpuri,XBLhrSWGytu,Agra Division,JSY,% JSY Incentive,indicator_36,0.3442093940480459,JSY,2020.0
Kanpur Nagar DHQ,NeyEJQ4zV6i,p,2019-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Bulandshahar Siyana,jJP9OWvYMuH,p,2019-04-01,Bulandshahar,ogBt4gWCiem,Meerut Division,JSY,% JSY Incentive,indicator_36,0.4362934362934363,JSY,2020.0
Malanwan,L7LEJCs3NnM,p,2019-04-01,Hardoi,MTIkUw5q5pX,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Ghazipur Kasimabad,oJK3Sqdic6n,p,2019-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,JSY,% JSY Incentive,indicator_36,0.18603319977103605,JSY,2020.0
Vihar,klR8OoJpYaw,p,2019-04-01,Pratapgarh,fz7bJo3egPX,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.39504643962848296,JSY,2020.0
Chaka,hty8pfH1ySe,p,2019-04-01,Prayagraj,tXgaew1Pd2Y,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Balrampur DHQ,G7snWO0Hmy7,p,2019-04-01,Balrampur,uS0pNSxN3sS,Gonda Division,JSY,% JSY Incentive,indicator_36,0.4996693121693122,JSY,2020.0
Fatehpur Amuali,janjc2a7UuX,p,2019-04-01,Fatehpur,ibLiLcaKzw2,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.4235294117647059,JSY,2020.0
Baghpat,q2bkBgTq2b1,p,2019-04-01,Bagpat,HJIS3IrQ0Nj,Meerut Division,JSY,% JSY Incentive,indicator_36,0.2012037833190025,JSY,2020.0
Kurebhar,wzWcav8jSNr,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.22907239819004524,JSY,2020.0
Gaura,b29DRuniQju,p,2019-04-01,Pratapgarh,fz7bJo3egPX,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.04901438465636655,JSY,2020.0
