block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Jaisinghpur,BKeRkKcuOgW,p,2019-10-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.9244532803180916,3,JSY,2020
Bulandshahar Siyana,jJP9OWvYMuH,p,2019-10-01,Bulandshahar,ogBt4gWCiem,Meerut Division,JSY,% JSY Incentive,indicator_36,1.0966850828729282,3,JSY,2020
Chatra,I0SrxhvmkHK,p,2019-10-01,Sonbhadra,NNk3JP90QZ5,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.0,3,JSY,2020
Akrabad,WFVLpMb2xKo,p,2019-10-01,Aligarh,frD2HOp3wAs,Alligarh Division,JSY,% JSY Incentive,indicator_36,0.0,3,JSY,2020
Binawar,QdKW8E0HxRg,p,2019-10-01,Budaun,eA37kyBRRuZ,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.7581300813008129,3,JSY,2020
Hapur,MoftawJk2Oh,p,2019-10-01,Hapur,CZ8kLjgqvSH,Meerut Division,JSY,% JSY Incentive,indicator_36,0.7054263565891473,3,JSY,2020
Bijnor Dhampur,hFYPDvQ1x7I,p,2019-10-01,Bijnor,uCYjHW7FuGG,Moradabad Division,JSY,% JSY Incentive,indicator_36,0.5343383584589615,3,JSY,2020
Kadipur,f8FnEAgiGOz,p,2019-10-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,JSY,% JSY Incentive,indicator_36,1.1299435028248588,3,JSY,2020
Lalitpur Jakhaura,cBlMjL2O6oW,p,2019-10-01,Lalitpur,fagfcadhxej,Jhansi Division,JSY,% JSY Incentive,indicator_36,0.9627507163323782,3,JSY,2020
Rae Bareli Deeh,lruABl36XZQ,p,2019-10-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.9809264305177112,3,JSY,2020
Bidhuna,dbmh0v75n2G,p,2019-10-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.8776119402985074,3,JSY,2020
Fatehpur Teliyani,sGcpaNGqN8u,p,2019-10-01,Fatehpur,ibLiLcaKzw2,Prayagraj Division,JSY,% JSY Incentive,indicator_36,1.2222222222222223,3,JSY,2020
Bhiti,RiDtZZsck6S,p,2019-10-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,JSY,% JSY Incentive,indicator_36,1.0615384615384615,3,JSY,2020
Barabanki DHQ,jqG1GfySEy7,p,2019-10-01,Barabanki,tzH6nJu9SwS,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.9219917012448132,3,JSY,2020
Jarwal,PK0wuMfp3LE,p,2019-10-01,Bahraich,iE0E3nLioFr,Gonda Division,JSY,% JSY Incentive,indicator_36,0.499009900990099,3,JSY,2020
Mau,RMNCveuyYds,p,2019-10-01,Chitrakoot,i2fSZZ3QAJJ,Chitrakoot Division,JSY,% JSY Incentive,indicator_36,0.0,3,JSY,2020
C S M Nagar Gauriganj,WM5EPg47DVT,p,2019-10-01,Amethi,StsLkYw1G0m,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.937354988399072,3,JSY,2020
Suithakala,qyXPcuW4JMr,p,2019-10-01,Jaunpur,gmw76vAUMqz,Varanasi Division,JSY,% JSY Incentive,indicator_36,1.2135922330097086,3,JSY,2020
