block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Sultanpur DHQ,L7J6pfX9JCH,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,91.21132734530941,,coverage,2020
Dhanpatganj,LNiRZH5vfaY,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,36.947573282075794,,coverage,2020
Dhanpatganj,LNiRZH5vfaY,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,60.31097913057821,,coverage,2020
Lambhua,O0G9BMkbU7f,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,45.660850310008705,,coverage,2020
Lambhua,O0G9BMkbU7f,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,55.59230535279801,,coverage,2020
Kurwar,Sz7oQppp6s9,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,40.5307308651448,,coverage,2020
Kurwar,Sz7oQppp6s9,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,48.15583218072829,,coverage,2020
Baldirai,VPN370bubCz,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,44.9612944706386,,coverage,2020
Baldirai,VPN370bubCz,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,53.8005886681382,,coverage,2020
Akhandnagar,bUb6dbgNp7o,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,48.4452016689846,,coverage,2020
Akhandnagar,bUb6dbgNp7o,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,58.1940464820121,,coverage,2020
Kadipur,f8FnEAgiGOz,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,43.905115089514,,coverage,2020
Kadipur,f8FnEAgiGOz,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,40.1245746899352,,coverage,2020
Motigarpur,hcBv6xoPmri,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,47.8874558996471,,coverage,2020
Motigarpur,hcBv6xoPmri,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,98.3918718880365,,coverage,2020
Bhadaiyan,vXwJYqDZIzf,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,44.963670411985,,coverage,2020
Bhadaiyan,vXwJYqDZIzf,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,62.684327846364695,,coverage,2020
PP Kamaicha,wDcv6om3WT1,p,2019-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,41.3309126871997,,coverage,2020
