,index,date,district_id,indicator_id,perc_point,district,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
87,41,202503,UAicdMLyuk4,indicator_2,85.93665362200042,Mirzapur,199,Mirzapur Division,200,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
88,61,202503,YzHpzrN0eLv,indicator_2,73.71835722812821,Sambhal,205,Moradabad Division,134,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
89,9,202503,Bd6E8zkVvVt,indicator_2,64.31966005985524,Auraiya,162,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
90,1,202503,Pm0jLk6EAiE,indicator_2,72.33405494073179,Etawah,161,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
91,30,202503,uEEwlAGZXWW,indicator_2,58.41107599945595,Farrukhabad,159,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
92,10,202503,IhQbDYRiF8w,indicator_2,71.43589437050952,Kannauj,160,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
93,27,202503,NNk3JP90QZ5,indicator_2,68.57723824518739,Sonbhadra,200,Mirzapur Division,200,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
94,68,202503,NL5xiiHZQSC,indicator_2,60.51805449168267,Jalaun,165,Jhansi Division,165,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
95,59,202503,k3D0AumUCiC,indicator_2,61.856404174629745,Kanpur Dehat,163,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
96,12,202503,QVMRMhzVrrS,indicator_2,57.46840699052497,Kanpur Nagar,164,Kanpur Nagar Division,161,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
97,6,202503,Tf9b9qcbghH,indicator_2,58.87725760106154,Deoria,190,Gorakhpur Division,188,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
98,23,202503,Mq751wBMqGF,indicator_2,59.26660370748411,Jhansi,166,Jhansi Division,165,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
99,56,202503,fagfcadhxej,indicator_2,58.851920072252604,Lalitpur,167,Jhansi Division,165,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
100,18,202503,vR85cHdsw1w,indicator_2,62.25756304119302,Gorakhpur,188,Gorakhpur Division,188,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
101,11,202503,xUeHwd9FQkg,indicator_2,55.17719285551842,Kushinagar,189,Gorakhpur Division,188,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
