,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type,indicator_index,type_index,domain_index
43,UuA1Z7kFP5w,115.45050677272728,202503,indicator_13,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,availability,delivery_care,indicator_13,Est Delivery load as per available Delivery Point,n,0.98887090729922,0.8241919255763164,0.9050305002082663
44,UuA1Z7kFP5w,84.66370496666667,202503,indicator_14,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,availability,delivery_care,indicator_14,Est Delivery load as per available SBA trained staff Nurse / ANM,n,0.9918116140059854,0.8241919255763164,0.9050305002082663
45,UuA1Z7kFP5w,100.0,202503,indicator_5,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.7123913941779789,1.0
46,UuA1Z7kFP5w,97.1065464567576,202503,indicator_7,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.9701463822452241,0.7123913941779789,0.5848906881656946
47,UuA1Z7kFP5w,1.005672609400324,202503,indicator_6,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,quality,immunization,indicator_6,Ratio of Pentavalent 3 to BCG,p,0.19963499408616506,0.6818910554800423,0.5848906881656946
48,UuA1Z7kFP5w,100.0,202503,indicator_10,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.7123913941779789,1.0
49,UuA1Z7kFP5w,51.741186922428525,202503,indicator_8,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.28004625180594167,0.7123913941779789,0.27758891753526316
50,UuA1Z7kFP5w,140.32209893362617,202503,indicator_9,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.2751315832645847,0.7123913941779789,0.27758891753526316
51,UuA1Z7kFP5w,4802.931003094847,202503,indicator_11,ClbehnmwSec,Chandauli,Naugarh,17,772.0,Varanasi Division,195,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3804056289341828,0.7123913941779789,0.3804056289341828
52,J2ufTjaikuE,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.6538703739238642,1.0
53,J2ufTjaikuE,100.0,202503,indicator_2,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,quality,ante_natal,indicator_2,% of pregnant women tested for Hb for 4 or more times against estimated PW,p,1.0,0.6838654599589279,1.0
54,J2ufTjaikuE,72.68366404956994,202503,indicator_3,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.6993828109517862,0.6538703739238642,0.876451256575164
55,J2ufTjaikuE,7.750117426021606,202503,indicator_4,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,quality,delivery_care,indicator_4,Still birth ratio,n,0.8660336844930552,0.6838654599589279,0.876451256575164
56,J2ufTjaikuE,402.5457636,202503,indicator_13,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,availability,delivery_care,indicator_13,Est Delivery load as per available Delivery Point,n,0.9517826040956922,0.8142432220726906,0.876451256575164
57,J2ufTjaikuE,116.67993147826087,202503,indicator_14,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,availability,delivery_care,indicator_14,Est Delivery load as per available SBA trained staff Nurse / ANM,n,0.9886059267601222,0.8142432220726906,0.876451256575164
58,J2ufTjaikuE,100.0,202503,indicator_5,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.6538703739238642,1.0
59,J2ufTjaikuE,95.79482256432841,202503,indicator_7,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.9566124847420675,0.6538703739238642,0.5710875900628981
60,J2ufTjaikuE,0.9367864439370268,202503,indicator_6,ClbehnmwSec,Chandauli,Sakaldiha,50,766.0,Varanasi Division,195,quality,immunization,indicator_6,Ratio of Pentavalent 3 to BCG,p,0.18556269538372863,0.6838654599589279,0.5710875900628981
