,index,district_id,perc_point,date,indicator_id,district,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
70,70,AdiUcz9BXhx,95.70265484817205,202503,indicator_1,Shamli,203,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
71,71,ClbehnmwSec,100.0,202503,indicator_1,Chandauli,196,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
72,72,dScWdMRN8PL,100.0,202503,indicator_1,Ghazipur,195,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
73,73,gmw76vAUMqz,100.0,202503,indicator_1,Jaunpur,194,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
74,74,LeuBT7KfuuA,100.0,202503,indicator_1,Varanasi,197,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,p
75,20,N5WWbRtsjWp,88.03723770975036,202503,indicator_2,Agra,146,Agra Division,146,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
76,45,eJTsuE56XDF,63.74825262725019,202503,indicator_2,Firozabad,147,Agra Division,146,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
77,32,XBLhrSWGytu,64.48480344401588,202503,indicator_2,Mainpuri,148,Agra Division,146,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
78,13,KP2BUB1npih,81.15544830872042,202503,indicator_2,Mathura,145,Agra Division,146,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
79,55,ibLiLcaKzw2,68.7937987311519,202503,indicator_2,Fatehpur,172,Prayagraj Division,172,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
80,24,PAj0oVY0Dxu,71.71705333894415,202503,indicator_2,Kaushambi,174,Prayagraj Division,172,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
81,49,fz7bJo3egPX,68.62160398563746,202503,indicator_2,Pratapgarh,173,Prayagraj Division,172,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
82,65,tXgaew1Pd2Y,74.37105508261867,202503,indicator_2,Prayagraj,175,Prayagraj Division,172,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
83,56,jM27ji8tyrM,77.63338341338672,202503,indicator_2,Ambedkar Nagar,178,Ayodhya Division,176,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
84,23,NjckKfm3g0k,78.38341507813627,202503,indicator_2,Azamgarh,191,Azamgarh Division,193,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
85,28,StsLkYw1G0m,69.28358770358034,202503,indicator_2,Amethi,206,Ayodhya Division,176,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
86,38,b4XkXzoGqFY,70.36433372644075,202503,indicator_2,Ayodhya,177,Ayodhya Division,176,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
87,66,tzH6nJu9SwS,62.131893917345515,202503,indicator_2,Barabanki,176,Ayodhya Division,176,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
88,60,o4ZQTVcMI7U,74.07470279771448,202503,indicator_2,Sultanpur,179,Ayodhya Division,176,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
89,16,MTIkUw5q5pX,60.35531381197035,202503,indicator_2,Hardoi,155,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
90,42,d9ZuMopgX29,76.19197809987318,202503,indicator_2,Lakhimpur Kheri,153,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
91,18,MfHac5N78aK,91.53652049587532,202503,indicator_2,Lucknow,157,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
92,54,iE0E3nLioFr,73.97379721827197,202503,indicator_2,Bahraich,180,Gonda Division,182,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
93,58,lLvTDpBDY8u,63.4507258294286,202503,indicator_2,Rae Bareli,158,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
94,33,XxaOowFtkiJ,70.00099515727965,202503,indicator_2,Sitapur,154,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
95,37,aT03mfdlNiF,62.94515064116777,202503,indicator_2,Unnav,156,Lucknow Division,155,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
96,9,HJIS3IrQ0Nj,76.26541294521985,202503,indicator_2,Bagpat,139,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
97,62,ogBt4gWCiem,70.75282532227621,202503,indicator_2,Bulandshahar,142,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
98,39,bNmwkrQeP3e,96.9894430031313,202503,indicator_2,Gautam Buddha Nagar,141,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
99,15,M5NHlfAaKYI,68.49410651855212,202503,indicator_2,Ghaziabad,140,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
100,4,CZ8kLjgqvSH,78.47655109324654,202503,indicator_2,Hapur,204,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
101,48,frD2HOp3wAs,83.4647709007158,202503,indicator_2,Aligarh,143,Alligarh Division,201,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
102,70,v8YGmR7nOdj,80.61101595245027,202503,indicator_2,Meerut,138,Meerut Division,140,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
103,36,ZLcx4iOVyN5,64.8461691287886,202503,indicator_2,Etah,201,Alligarh Division,201,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
104,59,m1IAjmqkoFC,100.0,202503,indicator_2,Hathras,144,Alligarh Division,201,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
105,51,hITp09XOBLZ,69.20485327267805,202503,indicator_2,Kasganj,202,Alligarh Division,201,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
106,61,oNDvGBE5fLq,55.17739817464091,202503,indicator_2,Ballia,193,Azamgarh Division,193,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
107,3,CBSB9v92AwT,84.583053264953,202503,indicator_2,Maunathbhanjan,192,Azamgarh Division,193,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
108,44,eA37kyBRRuZ,67.43720961777177,202503,indicator_2,Budaun,149,Bareilly Division,150,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
109,72,vVqY3DPcpHf,64.78004583155669,202503,indicator_2,Bareilly,150,Bareilly Division,150,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
110,40,c96jwckSd6j,68.0230486096417,202503,indicator_2,Pilibhit,151,Bareilly Division,150,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
111,8,GaiLSoQq1ue,57.945128848889716,202503,indicator_2,Shahjahanpur,152,Bareilly Division,150,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
112,12,J1P16zQEOUT,53.47373690448547,202503,indicator_2,Basti,185,Basti Division,185,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
113,47,fe1yBApr2sl,62.72914887315469,202503,indicator_2,Sant Kabir Nagar,186,Basti Division,185,coverage,delivery_care,indicator_2,% of pregnant women delivered in institution against estimated delivery,p
