,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type,indicator_index
58,xInsVC065RU,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Muzaffarnagar,46,19.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
59,IyYYBHo9msY,84.89973104036837,202503,indicator_1,LeuBT7KfuuA,Varanasi,Arajiline,57,778.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.8072818605714901
60,pzUMM4ITvbI,85.2188513707431,202503,indicator_1,LeuBT7KfuuA,Varanasi,Chirai Gaon,46,780.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.8113546540090137
61,HonPmXiTJw7,100.0,202503,indicator_1,LeuBT7KfuuA,Varanasi,Cholapur,44,775.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
62,Cr1PwYBuSs1,100.0,202503,indicator_1,LeuBT7KfuuA,Varanasi,Pindra,55,774.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
63,NJxCMa3k532,93.42182711269072,202503,indicator_1,LeuBT7KfuuA,Varanasi,Sevapuri,41,777.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9160456516986278
64,tJRXhxV3GJh,100.0,202503,indicator_1,LeuBT7KfuuA,Varanasi,Kashi Vidya Peeth,51,779.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
65,YAHDIDrUMwP,100.0,202503,indicator_1,LeuBT7KfuuA,Varanasi,Harhua,52,776.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
66,cFRa7gJ9JI1,100.0,202503,indicator_1,LeuBT7KfuuA,Varanasi,Varanasi (Urban),122,,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
67,J2vP2MAp32p,91.13303987087427,202503,indicator_1,LeuBT7KfuuA,Varanasi,Baragaon,45,773.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.8868348594955373
