,block_id,date,indicator_id,perc_point,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
6617,sGS6zRDhdsB,202503,indicator_4,0.0,iE0E3nLioFr,Bahraich,Bahraich (Urban),32,,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6618,wgoGe5KFMCX,202503,indicator_4,11.661807580174926,iE0E3nLioFr,Bahraich,Risia,50,541.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6619,ww1Qb6eAFFD,202503,indicator_4,8.528784648187633,iE0E3nLioFr,Bahraich,Balaha,54,539.0,Gonda Division,182,quality,delivery_care,indicator_4,Still birth ratio,n
6620,CGzm91g5LUD,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Manda,42,476.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6621,En85jBKx0aq,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Meja,44,474.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6622,Gs9FnVq3FME,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Soraon,46,461.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6623,INQHpWL0ZBk,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Karchhana,49,469.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6624,Qk15i4lxQ0C,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Handia,51,473.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6625,SkcYjFliQxI,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Holagarh,37,459.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6626,TcWp3YBgjTX,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Bahria,56,462.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6627,UBw5aJTPmZ3,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Kaudhiyara,31,468.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6628,UtcpvEmyolV,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Saidabad,55,472.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6629,V9DOCawlsCk,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Kaurihar,72,458.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6630,ZYDAjKxE7WN,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Uruwan,42,475.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6631,dawiYinsnkV,202503,indicator_4,0.0,tXgaew1Pd2Y,Prayagraj,Mauaima,45,460.0,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
6632,engUwg3VX3b,202503,indicator_4,2.607561929595828,tXgaew1Pd2Y,Prayagraj,Prayagraj (Urban),132,,Prayagraj Division,172,quality,delivery_care,indicator_4,Still birth ratio,n
