,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
6039,Q889SJwv9Ok,91.1473019808107,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Khiron,30,312.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6040,NbdKCUBY7yL,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Mahrajganj,25,304.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6041,H1W08wOkXWC,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Sareni,35,313.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6042,BYGgaeM7fof,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Shivgarh,23,303.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6043,E6hdzl0I5tt,18.427372105251933,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Sataon,30,310.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6044,lruABl36XZQ,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Dih,24,320.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6045,yFYFE5vVAAA,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Jagatpur,17,317.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6046,mbfOsRukNYs,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Chhatoh,21,321.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6047,c89kPtwHW5H,100.0,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Rohniya,13,,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
6048,Gr3MErPlauk,87.97423186815013,202503,indicator_10,lLvTDpBDY8u,Rae Bareli,Salon,39,322.0,Lucknow Division,155,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p
