,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type,indicator_index,type_index
3010,Rhej6WFZaSI,100.0,202503,indicator_5,J1P16zQEOUT,Basti,Bahadurpur,32,607.0,Basti Division,185,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.5973370021876949
3011,Rhej6WFZaSI,94.63172072166992,202503,indicator_7,J1P16zQEOUT,Basti,Bahadurpur,32,607.0,Basti Division,185,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.9446120163392842,0.5973370021876949
3012,Rhej6WFZaSI,100.0,202503,indicator_10,J1P16zQEOUT,Basti,Bahadurpur,32,607.0,Basti Division,185,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.5973370021876949
3013,Rhej6WFZaSI,3.340556338670508,202503,indicator_8,J1P16zQEOUT,Basti,Bahadurpur,32,607.0,Basti Division,185,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.018080572503947238,0.5973370021876949
3014,Rhej6WFZaSI,85.38608839283079,202503,indicator_9,J1P16zQEOUT,Basti,Bahadurpur,32,607.0,Basti Division,185,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.16729098622835573,0.5973370021876949
3015,Rhej6WFZaSI,4667.97158184718,202503,indicator_11,J1P16zQEOUT,Basti,Bahadurpur,32,607.0,Basti Division,185,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3202273874126477,0.5973370021876949
3016,jiDSxIFBh1G,100.0,202503,indicator_1,J1P16zQEOUT,Basti,Ramnagar,32,595.0,Basti Division,185,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.6151347667666448
3017,jiDSxIFBh1G,49.57465633436421,202503,indicator_3,J1P16zQEOUT,Basti,Ramnagar,32,595.0,Basti Division,185,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.44506740958737795,0.6151347667666448
3018,jiDSxIFBh1G,100.0,202503,indicator_5,J1P16zQEOUT,Basti,Ramnagar,32,595.0,Basti Division,185,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.6151347667666448
3019,jiDSxIFBh1G,99.16571443102234,202503,indicator_7,J1P16zQEOUT,Basti,Ramnagar,32,595.0,Basti Division,185,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.9913921401873711,0.6151347667666448
3020,jiDSxIFBh1G,100.0,202503,indicator_10,J1P16zQEOUT,Basti,Ramnagar,32,595.0,Basti Division,185,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.6151347667666448
3021,jiDSxIFBh1G,4.25636946491098,202503,indicator_8,J1P16zQEOUT,Basti,Ramnagar,32,595.0,Basti Division,185,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.023037359323368898,0.6151347667666448
3022,jiDSxIFBh1G,72.17322136153399,202503,indicator_9,J1P16zQEOUT,Basti,Ramnagar,32,595.0,Basti Division,185,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.14135383762239284,0.6151347667666448
3023,jiDSxIFBh1G,4667.97158184718,202503,indicator_11,J1P16zQEOUT,Basti,Ramnagar,32,595.0,Basti Division,185,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3202273874126477,0.6151347667666448
3024,tLE0KpRqOMk,97.59330746759267,202503,indicator_1,J1P16zQEOUT,Basti,Saltaua Gopal Pur,35,596.0,Basti Division,185,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9692844340546538,0.5825922926144177
3025,tLE0KpRqOMk,37.19290311478774,202503,indicator_3,J1P16zQEOUT,Basti,Saltaua Gopal Pur,35,596.0,Basti Division,185,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.30880580206021074,0.5825922926144177
3026,tLE0KpRqOMk,100.0,202503,indicator_5,J1P16zQEOUT,Basti,Saltaua Gopal Pur,35,596.0,Basti Division,185,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.5825922926144177
3027,tLE0KpRqOMk,95.86059769538524,202503,indicator_7,J1P16zQEOUT,Basti,Saltaua Gopal Pur,35,596.0,Basti Division,185,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.9572911289957231,0.5825922926144177
3028,tLE0KpRqOMk,100.0,202503,indicator_10,J1P16zQEOUT,Basti,Saltaua Gopal Pur,35,596.0,Basti Division,185,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.5825922926144177
3029,tLE0KpRqOMk,2.520026759113203,202503,indicator_8,J1P16zQEOUT,Basti,Saltaua Gopal Pur,35,596.0,Basti Division,185,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.013639502499205584,0.5825922926144177
3030,tLE0KpRqOMk,46.77169664914105,202503,indicator_9,J1P16zQEOUT,Basti,Saltaua Gopal Pur,35,596.0,Basti Division,185,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.09149008589290077,0.5825922926144177
3031,tLE0KpRqOMk,4667.97158184718,202503,indicator_11,J1P16zQEOUT,Basti,Saltaua Gopal Pur,35,596.0,Basti Division,185,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3202273874126477,0.5825922926144177
3032,I6SfaoTpBWQ,100.0,202503,indicator_1,J1P16zQEOUT,Basti,Dubaulia,21,602.0,Basti Division,185,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.5956604431958936
3033,I6SfaoTpBWQ,44.2806657913298,202503,indicator_3,J1P16zQEOUT,Basti,Dubaulia,21,602.0,Basti Division,185,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.3868068669295779,0.5956604431958936
3034,I6SfaoTpBWQ,100.0,202503,indicator_5,J1P16zQEOUT,Basti,Dubaulia,21,602.0,Basti Division,185,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.5956604431958936
3035,I6SfaoTpBWQ,88.02829090062018,202503,indicator_7,J1P16zQEOUT,Basti,Dubaulia,21,602.0,Basti Division,185,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.8764801915831842,0.5956604431958936
3036,I6SfaoTpBWQ,100.0,202503,indicator_10,J1P16zQEOUT,Basti,Dubaulia,21,602.0,Basti Division,185,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.5956604431958936
3037,I6SfaoTpBWQ,6.2688557021231,202503,indicator_8,J1P16zQEOUT,Basti,Dubaulia,21,602.0,Basti Division,185,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.03392982741435495,0.5956604431958936
3038,I6SfaoTpBWQ,75.47702265356213,202503,indicator_9,J1P16zQEOUT,Basti,Dubaulia,21,602.0,Basti Division,185,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.14783927222738302,0.5956604431958936
3039,I6SfaoTpBWQ,4667.97158184718,202503,indicator_11,J1P16zQEOUT,Basti,Dubaulia,21,602.0,Basti Division,185,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3202273874126477,0.5956604431958936
3040,omXlDQQZhm0,99.31396029989747,202503,indicator_1,J1P16zQEOUT,Basti,Gaur,43,598.0,Basti Division,185,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.9912443748564147,0.576725696071591
3041,omXlDQQZhm0,34.893368237995546,202503,indicator_3,J1P16zQEOUT,Basti,Gaur,43,598.0,Basti Division,185,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.2834993439746886,0.576725696071591
3042,omXlDQQZhm0,100.0,202503,indicator_5,J1P16zQEOUT,Basti,Gaur,43,598.0,Basti Division,185,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.576725696071591
3043,omXlDQQZhm0,87.25907886297344,202503,indicator_7,J1P16zQEOUT,Basti,Gaur,43,598.0,Basti Division,185,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.8685437371694235,0.576725696071591
3044,omXlDQQZhm0,100.0,202503,indicator_10,J1P16zQEOUT,Basti,Gaur,43,598.0,Basti Division,185,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.576725696071591
3045,omXlDQQZhm0,3.1118072853081546,202503,indicator_8,J1P16zQEOUT,Basti,Gaur,43,598.0,Basti Division,185,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.016842481172677143,0.576725696071591
3046,omXlDQQZhm0,68.14596458414327,202503,indicator_9,J1P16zQEOUT,Basti,Gaur,43,598.0,Basti Division,185,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.1334482439868757,0.576725696071591
3047,omXlDQQZhm0,4667.97158184718,202503,indicator_11,J1P16zQEOUT,Basti,Gaur,43,598.0,Basti Division,185,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3202273874126477,0.576725696071591
