calc_type,composite_index,composite_rank,date,district,district_id,div_map_id,division,domain,domain_index,domain_rank,indicator,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,quarter,type,type_index,type_rank,value,year
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,post_natal_care,0.687871969,8.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.687871969,8.0,185,61.12409441,3,coverage,0.364001984,49.0,,2018
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,immunization,0.614524282,28.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,0.550417896,44.0,185,61.32396187,3,coverage,0.364001984,49.0,,2018
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,immunization,0.614524282,28.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.6786306670000001,24.0,185,0.967256172,3,quality,0.7113043259999999,30.0,,2018
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,communicable_diseases,0.696375924,29.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.39275184799999996,29.0,185,22.78677774,3,coverage,0.364001984,49.0,,2018
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,communicable_diseases,0.696375924,29.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,185,100.0,3,quality,0.7113043259999999,30.0,,2018
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,family_planning,0.099286745,53.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.022891957,59.0,185,0.44981947,3,coverage,0.364001984,49.0,,2018
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,family_planning,0.099286745,53.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.175681533,48.0,185,3.198859028,3,coverage,0.364001984,49.0,,2018
p,0.5953661339999999,28.0,2017-10-01,Basti,J1P16zQEOUT,185,Basti Division,finance,0.54963561,28.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.54963561,28.0,185,1850.443019,3,coverage,0.364001984,49.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,ante_natal,0.57411455,25.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.57411455,25.0,146,62.70457039,3,coverage,0.5188708160000001,10.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.8927589309999999,2.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.85975169,6.0,146,55.10233129,3,coverage,0.5188708160000001,10.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.8927589309999999,2.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.004798412,43.0,146,0.127504554,3,quality,0.742590002,25.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.8927589309999999,2.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.9137611059999999,3.0,146,12.12316716,3,quality,0.742590002,25.0,,2018
n,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,delivery_care,0.8927589309999999,2.0,Still birth ratio,indicator_4,indicator_4,0.899965584,20.0,146,10.62887511,3,quality,0.742590002,25.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,post_natal_care,0.493434327,21.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.493434327,21.0,146,47.93728777,3,coverage,0.5188708160000001,10.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,immunization,0.37733872399999996,68.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,0.602842542,32.0,146,65.46670163,3,coverage,0.5188708160000001,10.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,immunization,0.37733872399999996,68.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.151834906,74.0,146,0.698540187,3,quality,0.742590002,25.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,communicable_diseases,0.679638205,37.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.35927640899999996,37.0,146,20.93579773,3,coverage,0.5188708160000001,10.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,communicable_diseases,0.679638205,37.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,146,100.0,3,quality,0.742590002,25.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,family_planning,0.27077041,10.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.083063501,25.0,146,1.514747871,3,coverage,0.5188708160000001,10.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,family_planning,0.27077041,10.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.45847732,10.0,146,7.383163702,3,coverage,0.5188708160000001,10.0,,2018
p,0.662132805,6.0,2017-10-01,Agra,N5WWbRtsjWp,146,Agra Division,finance,0.7200061879999999,14.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.7200061879999999,14.0,146,2015.261732,3,coverage,0.5188708160000001,10.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,ante_natal,0.669401314,16.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.669401314,16.0,179,71.04897564,3,coverage,0.41089430200000004,24.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,delivery_care,0.625307278,30.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.60023981,25.0,179,41.14684044,3,coverage,0.41089430200000004,24.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,delivery_care,0.625307278,30.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.0,55.0,179,0.0,3,quality,0.717271881,28.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,delivery_care,0.625307278,30.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.3963749620000001,24.0,179,5.25883613,3,quality,0.717271881,28.0,,2018
n,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,delivery_care,0.625307278,30.0,Still birth ratio,indicator_4,indicator_4,0.8793070620000001,30.0,179,12.62848752,3,quality,0.717271881,28.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,post_natal_care,0.24176388199999999,58.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.24176388199999999,58.0,179,30.86893903,3,coverage,0.41089430200000004,24.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,immunization,0.673450063,17.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,0.753494626,15.0,179,77.37164381,3,coverage,0.41089430200000004,24.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,immunization,0.673450063,17.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.5934055,33.0,179,0.923783224,3,quality,0.717271881,28.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,communicable_diseases,0.7195775740000001,23.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.439155148,23.0,179,25.35258676,3,coverage,0.41089430200000004,24.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,communicable_diseases,0.7195775740000001,23.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,179,100.0,3,quality,0.717271881,28.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,family_planning,0.158759399,30.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.01785387,64.0,179,0.36065436,3,coverage,0.41089430200000004,24.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,family_planning,0.158759399,30.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.299664928,22.0,179,5.033342858999999,3,coverage,0.41089430200000004,24.0,,2018
p,0.572448176,33.0,2017-10-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,finance,0.26558083899999996,64.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.26558083899999996,64.0,179,1575.644739,3,coverage,0.41089430200000004,24.0,,2018
p,0.467675991,68.0,2017-10-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,ante_natal,0.419576706,42.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.419576706,42.0,206,49.17145884,3,coverage,0.382220865,39.0,,2018
p,0.467675991,68.0,2017-10-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,delivery_care,0.35058286899999996,68.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.22519505899999998,70.0,206,20.97846284,3,coverage,0.382220865,39.0,,2018
p,0.467675991,68.0,2017-10-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,delivery_care,0.35058286899999996,68.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.01294892,37.0,206,0.34408179299999997,3,quality,0.54679937,68.0,,2018
p,0.467675991,68.0,2017-10-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,delivery_care,0.35058286899999996,68.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.0,63.0,206,0.0,3,quality,0.54679937,68.0,,2018
n,0.467675991,68.0,2017-10-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,delivery_care,0.35058286899999996,68.0,Still birth ratio,indicator_4,indicator_4,0.813604628,59.0,206,18.988061399999996,3,quality,0.54679937,68.0,,2018
p,0.467675991,68.0,2017-10-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,post_natal_care,0.455084599,27.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.455084599,27.0,206,45.33640023,3,coverage,0.382220865,39.0,,2018
p,0.467675991,68.0,2017-10-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,immunization,0.538325185,48.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,0.71600644,20.0,206,74.40922421,3,coverage,0.382220865,39.0,,2018
p,0.467675991,68.0,2017-10-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,immunization,0.538325185,48.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.36064393,60.0,206,0.8050526659999999,3,quality,0.54679937,68.0,,2018
