date,district,district_id,indicator_id,perc_point
201801,Ballia,oNDvGBE5fLq,indicator_13,4.5
201801,Balrampur,uS0pNSxN3sS,indicator_13,0.784313725
201801,Banda,DggJGxqbWHn,indicator_13,1.607717042
201801,Barabanki,tzH6nJu9SwS,indicator_13,2.78372591
201801,Bareilly,vVqY3DPcpHf,indicator_13,1.293103448
201801,Basti,J1P16zQEOUT,indicator_13,1.807228916
201801,Bhadohi,PeUY1vj02UQ,indicator_13,3.243243243
201801,Bijnor,uCYjHW7FuGG,indicator_13,6.133333333
201801,Budaun,eA37kyBRRuZ,indicator_13,1.955307263
201801,Bulandshahar,ogBt4gWCiem,indicator_13,2.040816327
201801,Chandauli,ClbehnmwSec,indicator_13,4.827586207
201801,Chitrakoot,i2fSZZ3QAJJ,indicator_13,
201801,Deoria,Tf9b9qcbghH,indicator_13,3.90625
201801,Etah,ZLcx4iOVyN5,indicator_13,1.895734597
201801,Etawah,Pm0jLk6EAiE,indicator_13,4.975124378
201801,Farrukhabad,uEEwlAGZXWW,indicator_13,1.401869159
201801,Fatehpur,ibLiLcaKzw2,indicator_13,1.420454545
201801,Firozabad,eJTsuE56XDF,indicator_13,4.460966543
201801,Gautam Buddha Nagar,bNmwkrQeP3e,indicator_13,0.769230769
201801,Ghaziabad,M5NHlfAaKYI,indicator_13,3.76344086
201801,Ghazipur,dScWdMRN8PL,indicator_13,3.579418345
201801,Gonda,y8WarEkWCul,indicator_13,4.312668464
201801,Gorakhpur,vR85cHdsw1w,indicator_13,3.311258278
201801,Hamirpur,VSI7HobT5qL,indicator_13,1.276595745
201801,Hapur,CZ8kLjgqvSH,indicator_13,2.234636872
201801,Hardoi,MTIkUw5q5pX,indicator_13,2.306079665
201801,Hathras,m1IAjmqkoFC,indicator_13,4.054054054
201801,Jalaun,NL5xiiHZQSC,indicator_13,1.572327044
201801,Jaunpur,gmw76vAUMqz,indicator_13,3.649635036
201801,Jhansi,Mq751wBMqGF,indicator_13,3.193612774
201801,Kannauj,IhQbDYRiF8w,indicator_13,1.818181818
201801,Kanpur Dehat,k3D0AumUCiC,indicator_13,2.573529412
201801,Kanpur Nagar,QVMRMhzVrrS,indicator_13,1.048951049
201801,Kasganj,hITp09XOBLZ,indicator_13,3.664921466
201801,Kaushambi,PAj0oVY0Dxu,indicator_13,2.487562189
201801,Kushinagar,xUeHwd9FQkg,indicator_13,7.843137255
201801,Lakhimpur Kheri,d9ZuMopgX29,indicator_13,6.739130435
201801,Lalitpur,fagfcadhxej,indicator_13,3.652968037
201801,Lucknow,MfHac5N78aK,indicator_13,3.287671233
201801,Maharajganj,AcnMkNGgc3S,indicator_13,3.943661972
201801,Mahoba,sUQMxIc3yXj,indicator_13,1.129943503
201801,Mainpuri,XBLhrSWGytu,indicator_13,1.304347826
201801,Mathura,KP2BUB1npih,indicator_13,1.831501832
201801,Maunathbhanjan,CBSB9v92AwT,indicator_13,6.177606178
201801,Meerut,v8YGmR7nOdj,indicator_13,1.126126126
201801,Mirzapur,UAicdMLyuk4,indicator_13,4.702194357
201801,Moradabad,YQNQoPjAIpV,indicator_13,5.373134328
201801,Muzaffarnagar,MVQs2RrS1Nw,indicator_13,3.170028818
201801,Pilibhit,c96jwckSd6j,indicator_13,1.244813278
201801,Pratapgarh,fz7bJo3egPX,indicator_13,4.199475066
201801,Prayagraj,tXgaew1Pd2Y,indicator_13,2.155887231
201801,Rae Bareli,lLvTDpBDY8u,indicator_13,4.134366925
201801,Rampur,IU006h5U7jj,indicator_13,1.214574899
201801,Saharanpur,FKYZ3JbWq84,indicator_13,2.702702703
201801,Sambhal,YzHpzrN0eLv,indicator_13,2.34375
201801,Sant Kabir Nagar,fe1yBApr2sl,indicator_13,2.702702703
201801,Shahjahanpur,GaiLSoQq1ue,indicator_13,2.110817942
201801,Shamli,AdiUcz9BXhx,indicator_13,1.226993865
201801,Shrawasti,oyTwneTbWDx,indicator_13,2.205882353
201801,Siddharth Nagar,cP0p8qfm3il,indicator_13,7.744107744
201801,Sitapur,XxaOowFtkiJ,indicator_13,2.490421456
201801,Sonbhadra,NNk3JP90QZ5,indicator_13,3.524229075
201801,Sultanpur,o4ZQTVcMI7U,indicator_13,2.670623145
201801,Unnav,aT03mfdlNiF,indicator_13,1.813471503
201801,Varanasi,LeuBT7KfuuA,indicator_13,3.485254692
