calc_type,composite_index,composite_rank,date,district,district_id,div_map_id,division,domain,domain_index,domain_rank,indicator,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type,type_index,type_rank,value,year
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,post_natal_care,0.477717088,23.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.477717088,23.0,146,46.3851846,coverage,0.5576921570000001,12.0,,2018
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,immunization,0.611956225,65.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,1.0,1.0,146,100.0,coverage,0.5576921570000001,12.0,,2018
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,immunization,0.611956225,65.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.223912451,66.0,146,0.904021922,quality,0.6917918340000001,26.0,,2018
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,communicable_diseases,0.658761804,42.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.317523609,42.0,146,20.19427564,coverage,0.5576921570000001,12.0,,2018
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,communicable_diseases,0.658761804,42.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,146,100.0,quality,0.6917918340000001,26.0,,2018
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,family_planning,0.32482735100000004,13.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.158634267,21.0,146,3.744975892,coverage,0.5576921570000001,12.0,,2018
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,family_planning,0.32482735100000004,13.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.491020435,11.0,146,14.06891908,coverage,0.5576921570000001,12.0,,2018
p,0.656010602,9.0,2017-04-01,Agra,N5WWbRtsjWp,146,Agra Division,finance,0.776440349,8.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.776440349,8.0,146,26510.48353,coverage,0.5576921570000001,12.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,ante_natal,0.618652125,18.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.618652125,18.0,179,67.44218764,coverage,0.5059438270000001,18.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,delivery_care,0.68604256,13.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.8437353009999999,7.0,179,88.78210899999998,coverage,0.5059438270000001,18.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,delivery_care,0.68604256,13.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.0,62.0,179,0.0,quality,0.658575161,35.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,delivery_care,0.68604256,13.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.403377927,24.0,179,5.7001678170000005,quality,0.658575161,35.0,,2018
n,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,delivery_care,0.68604256,13.0,Still birth ratio,indicator_4,indicator_4,0.811014453,30.0,179,12.22667546,quality,0.658575161,35.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,post_natal_care,0.239078039,56.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.239078039,56.0,179,30.6951925,coverage,0.5059438270000001,18.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,immunization,0.7099541309999999,41.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,1.0,1.0,179,100.0,coverage,0.5059438270000001,18.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,immunization,0.7099541309999999,41.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.419908262,41.0,179,0.993098424,quality,0.658575161,35.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,communicable_diseases,0.7459702990000001,17.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.491940597,18.0,179,30.81221179,coverage,0.5059438270000001,18.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,communicable_diseases,0.7459702990000001,17.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,179,100.0,quality,0.658575161,35.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,family_planning,0.216381658,28.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.063965391,46.0,179,1.588144636,coverage,0.5059438270000001,18.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,family_planning,0.216381658,28.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.368797926,21.0,179,10.87815803,coverage,0.5059438270000001,18.0,,2018
p,0.589516059,30.0,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,finance,0.421381234,40.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.421381234,40.0,179,22783.0644,coverage,0.5059438270000001,18.0,,2018
p,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,ante_natal,0.451974899,38.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.451974899,38.0,206,53.21201574,coverage,0.442103766,32.0,,2018
p,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,delivery_care,0.368044655,68.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.386700734,58.0,206,58.99584721,coverage,0.442103766,32.0,,2018
p,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,delivery_care,0.368044655,68.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.019114846,34.0,206,0.439054986,quality,0.528955404,66.0,,2018
p,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,delivery_care,0.368044655,68.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.0,68.0,206,0.0,quality,0.528955404,66.0,,2018
n,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,delivery_care,0.368044655,68.0,Still birth ratio,indicator_4,indicator_4,0.698318384,58.0,206,18.97736587,quality,0.528955404,66.0,,2018
p,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,post_natal_care,0.443236949,28.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.443236949,28.0,206,44.11819135,coverage,0.442103766,32.0,,2018
p,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,immunization,0.699194193,48.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,1.0,1.0,206,100.0,coverage,0.442103766,32.0,,2018
p,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,immunization,0.699194193,48.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.398388386,49.0,206,0.983318035,quality,0.528955404,66.0,,2018
p,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,communicable_diseases,0.659948439,41.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.319896877,41.0,206,20.33875247,coverage,0.442103766,32.0,,2018
p,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,communicable_diseases,0.659948439,41.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,206,100.0,quality,0.528955404,66.0,,2018
p,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,family_planning,0.266736016,20.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.142954889,26.0,206,3.387754246,coverage,0.442103766,32.0,,2018
p,0.483580568,65.0,2017-04-01,Amethi,StsLkYw1G0m,176,Ayodhya Division,family_planning,0.266736016,20.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.390517142,18.0,206,11.44516348,coverage,0.442103766,32.0,,2018
