,block,composite_index,rank,month,district
2796,Kara,0.749468,385.0,Sep 2023,Kaushambi
2805,Babhani,0.799956,92.0,Sep 2023,Sonbhadra
2807,Duddhi,0.819447,31.0,Sep 2023,Sonbhadra
2808,Haswa,0.699909,615.0,Sep 2023,Fatehpur
2811,Khajuha,0.805935,74.0,Sep 2023,Fatehpur
2818,Lalganj,0.704829,597.0,Sep 2023,Azamgarh
2820,Thekma,0.77236,241.0,Sep 2023,Azamgarh
2822,Koilsa,0.675202,690.0,Sep 2023,Azamgarh
2825,Ahiraula,0.707121,585.0,Sep 2023,Azamgarh
2827,Palhani,0.630987,790.0,Sep 2023,Azamgarh
2829,Sathiyaon,0.734006,475.0,Sep 2023,Azamgarh
2830,Phulpur,0.685109,663.0,Sep 2023,Azamgarh
2835,Arajiline,0.788808,142.0,Sep 2023,Varanasi
2837,Harhua,0.819328,33.0,Sep 2023,Varanasi
2846,Patiyali,0.745093,410.0,Sep 2023,Kasganj
2858,Mahmudabad,0.761754,316.0,Sep 2023,Sitapur
2872,Takha,0.760186,325.0,Sep 2023,Etawah
2884,Sursa,0.73421,470.0,Sep 2023,Hardoi
2885,Pihani,0.787193,151.0,Sep 2023,Hardoi
2887,Bawan,0.665209,724.0,Sep 2023,Hardoi
2895,Kopaganj,0.76863,273.0,Sep 2023,Maunathbhanjan
2898,Baniyakhera,0.760414,322.0,Sep 2023,Sambhal
2899,Gunnaur,0.742403,427.0,Sep 2023,Sambhal
2901,Rajpura,0.789064,141.0,Sep 2023,Sambhal
2903,Baberu,0.731558,485.0,Sep 2023,Banda
2913,Vidhunu,0.790833,131.0,Sep 2023,Kanpur Nagar
2916,Shivrajpur,0.752232,363.0,Sep 2023,Kanpur Nagar
2919,Bhitargaon,0.768683,272.0,Sep 2023,Kanpur Nagar
2922,Jalilpur,0.783365,176.0,Sep 2023,Bijnor
2924,Najibabad,0.656738,743.0,Sep 2023,Bijnor
2925,Allahpur,0.720096,542.0,Sep 2023,Bijnor
2931,Afzalgarh,0.783301,177.0,Sep 2023,Bijnor
2932,Shivgarh,0.62675,795.0,Sep 2023,Pratapgarh
2934,Sandwa Chandrika,0.699998,613.0,Sep 2023,Pratapgarh
2938,Lalganj Ajhara,0.765779,291.0,Sep 2023,Pratapgarh
2943,Harraiya,0.771745,244.0,Sep 2023,Basti
2949,Kudaraha,0.73043,490.0,Sep 2023,Basti
2956,Hasanpur,0.688122,648.0,Sep 2023,Amroha
2962,Ballia (Urban),0.590062,830.0,Sep 2023,Ballia
2965,Chilkahar,0.70643,590.0,Sep 2023,Ballia
