calc_type,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,type,year
p,2018-04-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,delivery_care,% of live babies weighted at birth,indicator_6,192,55.71965811965812,delivery_care,2019
p,2017-04-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,ANC,% ANC registered in First trimester,indicator_1,139,69.04993979702999,ANC,2018
p,2018-04-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,ANC,% ANC registered in First trimester,indicator_1,139,74.21750503623079,ANC,2019
p,2017-04-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,ANC,% of severe anaemic PW treated,indicator_4,139,11.682242990654204,ANC,2018
p,2018-04-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,ANC,% of severe anaemic PW treated,indicator_4,139,14.787701317715962,ANC,2019
p,2017-04-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,PNC,% of new born breastfed within one hour of birth,indicator_5,139,88.78437047756874,PNC,2018
p,2018-04-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,PNC,% of new born breastfed within one hour of birth,indicator_5,139,96.0171540672476,PNC,2019
p,2017-04-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,delivery_care,% of live babies weighted at birth,indicator_6,139,89.93306801736614,delivery_care,2018
p,2018-04-01,Bagpat,HJIS3IrQ0Nj,140,Meerut Division,delivery_care,% of live babies weighted at birth,indicator_6,139,97.58656873032528,delivery_care,2019
p,2017-04-01,Sant Kabir Nagar,fe1yBApr2sl,185,Basti Division,ANC,% ANC registered in First trimester,indicator_1,186,42.69066424964392,ANC,2018
p,2018-04-01,Sant Kabir Nagar,fe1yBApr2sl,185,Basti Division,ANC,% ANC registered in First trimester,indicator_1,186,46.55865726440935,ANC,2019
p,2017-04-01,Sant Kabir Nagar,fe1yBApr2sl,185,Basti Division,ANC,% of severe anaemic PW treated,indicator_4,186,16.033755274261605,ANC,2018
p,2018-04-01,Sant Kabir Nagar,fe1yBApr2sl,185,Basti Division,ANC,% of severe anaemic PW treated,indicator_4,186,27.195767195767196,ANC,2019
p,2017-04-01,Sant Kabir Nagar,fe1yBApr2sl,185,Basti Division,PNC,% of new born breastfed within one hour of birth,indicator_5,186,94.8,PNC,2018
p,2018-04-01,Sant Kabir Nagar,fe1yBApr2sl,185,Basti Division,PNC,% of new born breastfed within one hour of birth,indicator_5,186,93.88989715668482,PNC,2019
p,2017-04-01,Sant Kabir Nagar,fe1yBApr2sl,185,Basti Division,delivery_care,% of live babies weighted at birth,indicator_6,186,95.91304347826087,delivery_care,2018
p,2018-04-01,Sant Kabir Nagar,fe1yBApr2sl,185,Basti Division,delivery_care,% of live babies weighted at birth,indicator_6,186,95.488266946859,delivery_care,2019
p,2017-04-01,Mirzapur,UAicdMLyuk4,200,Mirzapur Division,ANC,% ANC registered in First trimester,indicator_1,199,40.84687639779335,ANC,2018
p,2018-04-01,Mirzapur,UAicdMLyuk4,200,Mirzapur Division,ANC,% ANC registered in First trimester,indicator_1,199,42.86624300426191,ANC,2019
p,2017-04-01,Mirzapur,UAicdMLyuk4,200,Mirzapur Division,ANC,% of severe anaemic PW treated,indicator_4,199,37.74703557312253,ANC,2018
p,2018-04-01,Mirzapur,UAicdMLyuk4,200,Mirzapur Division,ANC,% of severe anaemic PW treated,indicator_4,199,31.3893653516295,ANC,2019
p,2017-04-01,Mirzapur,UAicdMLyuk4,200,Mirzapur Division,PNC,% of new born breastfed within one hour of birth,indicator_5,199,96.24186437119462,PNC,2018
p,2018-04-01,Mirzapur,UAicdMLyuk4,200,Mirzapur Division,PNC,% of new born breastfed within one hour of birth,indicator_5,199,95.74741577847999,PNC,2019
p,2017-04-01,Mirzapur,UAicdMLyuk4,200,Mirzapur Division,delivery_care,% of live babies weighted at birth,indicator_6,199,97.36720554272516,delivery_care,2018
p,2018-04-01,Mirzapur,UAicdMLyuk4,200,Mirzapur Division,delivery_care,% of live babies weighted at birth,indicator_6,199,97.02747576455471,delivery_care,2019
p,2017-04-01,Kannauj,IhQbDYRiF8w,161,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,160,40.212775885399644,ANC,2018
p,2018-04-01,Kannauj,IhQbDYRiF8w,161,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,160,42.18537535770097,ANC,2019
