block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2018-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,28.27669902912621,1,ANC,2019
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2018-07-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,26.807563959955502,2,ANC,2019
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2018-10-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,33.286908077994426,3,ANC,2019
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2019-01-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,27.50533049040512,4,ANC,2019
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2019-04-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,31.301652892561982,1,ANC,2020
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2019-07-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,36.17929562433298,2,ANC,2020
Kanpur Dehat Ghinjhak,HddGvNsPs8y,p,2019-10-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,35.66958698372966,3,ANC,2020
Auraiya Bhagyanagar,UqkEQavyage,p,2017-10-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,51.34529147982063,3,ANC,2018
Auraiya Bhagyanagar,UqkEQavyage,p,2018-01-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,58.19881053525914,4,ANC,2018
Auraiya Bhagyanagar,UqkEQavyage,p,2018-04-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,49.794801641586865,1,ANC,2019
Auraiya Bhagyanagar,UqkEQavyage,p,2018-07-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,56.58602150537635,2,ANC,2019
Auraiya Bhagyanagar,UqkEQavyage,p,2018-10-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,57.43801652892562,3,ANC,2019
Auraiya Bhagyanagar,UqkEQavyage,p,2019-01-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,52.835820895522396,4,ANC,2019
Auraiya Bhagyanagar,UqkEQavyage,p,2019-04-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,63.84297520661158,1,ANC,2020
Auraiya Bhagyanagar,UqkEQavyage,p,2019-07-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,50.53304904051172,2,ANC,2020
Auraiya Bhagyanagar,UqkEQavyage,p,2019-10-01,Auraiya,Bd6E8zkVvVt,Kanpur Nagar Division,ANC,% ANC registered in First trimester,indicator_1,56.00000000000001,3,ANC,2020
Ramnagar,svsS1G8o1pm,p,2017-10-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,74.6244635193133,3,ANC,2018
Ramnagar,svsS1G8o1pm,p,2018-01-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,76.06924643584522,4,ANC,2018
Ramnagar,svsS1G8o1pm,p,2018-04-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,77.82237832413445,1,ANC,2019
Ramnagar,svsS1G8o1pm,p,2018-07-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,72.56596906278435,2,ANC,2019
Ramnagar,svsS1G8o1pm,p,2018-10-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,91.55074703760948,3,ANC,2019
Ramnagar,svsS1G8o1pm,p,2019-01-01,Bareilly,vVqY3DPcpHf,Bareilly Division,ANC,% ANC registered in First trimester,indicator_1,79.97775305895439,4,ANC,2019
