calc_type,date,district_name,district_id,div_map_id,division,domain_name,indicator_name,indicator_id,map_id,perc_point,quarter,type_name,year,district_id_num
p,2023-07-01,Mainpuri,XBLhrSWGytu,146,Agra Division,JSY,% JSY Incentive,36,148,68.90713186249359,2,JSY,2024,43
p,2023-07-01,Mainpuri,XBLhrSWGytu,146,Agra Division,Fund,% of fund utilized against approved budget,35,148,69.8,2,Fund,2024,43
p,2023-07-01,Mainpuri,XBLhrSWGytu,146,Agra Division,TB,Treatment Success Rate  as per total cases notified,37,148,100.0,2,TB,2024,43
p,2023-07-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,JSY,% JSY Incentive,36,132,18.811169256581312,2,JSY,2024,31
p,2023-07-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,Fund,% of fund utilized against approved budget,35,132,72.6,2,Fund,2024,31
p,2023-07-01,Saharanpur,FKYZ3JbWq84,132,Saharanpur Division,TB,Treatment Success Rate  as per total cases notified,37,132,100.0,2,TB,2024,31
p,2023-07-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,JSY,% JSY Incentive,36,152,40.12102220541358,2,JSY,2024,28
p,2023-07-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,Fund,% of fund utilized against approved budget,35,152,76.4,2,Fund,2024,28
p,2023-07-01,Shahjahanpur,GaiLSoQq1ue,150,Bareilly Division,TB,Treatment Success Rate  as per total cases notified,37,152,100.0,2,TB,2024,28
p,2023-07-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,JSY,% JSY Incentive,36,182,24.440154440154448,2,JSY,2024,72
p,2023-07-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,Fund,% of fund utilized against approved budget,35,182,70.3,2,Fund,2024,72
p,2023-07-01,Balrampur,uS0pNSxN3sS,182,Gonda Division,TB,Treatment Success Rate  as per total cases notified,37,182,100.0,2,TB,2024,72
p,2023-07-01,Chandauli,ClbehnmwSec,195,Varanasi Division,JSY,% JSY Incentive,36,196,59.069705451152885,2,JSY,2024,61
p,2023-07-01,Chandauli,ClbehnmwSec,195,Varanasi Division,Fund,% of fund utilized against approved budget,35,196,73.1,2,Fund,2024,61
p,2023-07-01,Chandauli,ClbehnmwSec,195,Varanasi Division,TB,Treatment Success Rate  as per total cases notified,37,196,100.0,2,TB,2024,61
p,2023-07-01,Lakhimpur Kheri,d9ZuMopgX29,155,Lucknow Division,JSY,% JSY Incentive,36,153,49.03912329927471,2,JSY,2024,22
p,2023-07-01,Lakhimpur Kheri,d9ZuMopgX29,155,Lucknow Division,Fund,% of fund utilized against approved budget,35,153,71.2,2,Fund,2024,22
p,2023-07-01,Lakhimpur Kheri,d9ZuMopgX29,155,Lucknow Division,TB,Treatment Success Rate  as per total cases notified,37,153,100.0,2,TB,2024,22
p,2023-07-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,JSY,% JSY Incentive,36,175,29.594725214029268,2,JSY,2024,34
p,2023-07-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,Fund,% of fund utilized against approved budget,35,175,66.2,2,Fund,2024,34
p,2023-07-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,TB,Treatment Success Rate  as per total cases notified,37,175,100.0,2,TB,2024,34
p,2023-07-01,Barabanki,tzH6nJu9SwS,176,Ayodhya Division,JSY,% JSY Incentive,36,176,58.17780453542043,2,JSY,2024,41
p,2023-07-01,Barabanki,tzH6nJu9SwS,176,Ayodhya Division,Fund,% of fund utilized against approved budget,35,176,58.4,2,Fund,2024,41
p,2023-07-01,Barabanki,tzH6nJu9SwS,176,Ayodhya Division,TB,Treatment Success Rate  as per total cases notified,37,176,100.0,2,TB,2024,41
