date,block,block_id,subindicator_id,value,quarter,year,sub_id,calc_type,map_id,district,district_id,indicator_id_var,block_id_num,indicator_id
2023.0,Hergaon,nwuxQQpdi7D,TmeumlBaObG,8775.0,,2024.0,10b,p,246.0,Sitapur,XxaOowFtkiJ,indicator_10,815,10
2023.0,Hergaon,nwuxQQpdi7D,t03VPkJ5UXd,7800.0,,2024.0,7b,p,246.0,Sitapur,XxaOowFtkiJ,indicator_7,815,7
2023.0,Hergaon,nwuxQQpdi7D,g69FuEghiM5,7878.0,,2024.0,2d,p,246.0,Sitapur,XxaOowFtkiJ,indicator_2,815,2
2023.0,Sitapur DHQ,ql65TcOIaDt,TmeumlBaObG,8904.0,,2024.0,10b,p,,Sitapur,XxaOowFtkiJ,indicator_10,281,10
2023.0,Sitapur DHQ,ql65TcOIaDt,t03VPkJ5UXd,7914.0,,2024.0,7b,p,,Sitapur,XxaOowFtkiJ,indicator_7,281,7
2023.0,Sitapur DHQ,ql65TcOIaDt,g69FuEghiM5,7993.0,,2024.0,2d,p,,Sitapur,XxaOowFtkiJ,indicator_2,281,2
2023.0,Persendi,qyrJ0VLceRJ,TmeumlBaObG,8275.0,,2024.0,10b,p,247.0,Sitapur,XxaOowFtkiJ,indicator_10,415,10
2023.0,Persendi,qyrJ0VLceRJ,t03VPkJ5UXd,7355.0,,2024.0,7b,p,247.0,Sitapur,XxaOowFtkiJ,indicator_7,415,7
2023.0,Persendi,qyrJ0VLceRJ,g69FuEghiM5,7429.0,,2024.0,2d,p,247.0,Sitapur,XxaOowFtkiJ,indicator_2,415,2
2023.0,Laharpur,tIk5hphkbm1,TmeumlBaObG,8717.0,,2024.0,10b,p,249.0,Sitapur,XxaOowFtkiJ,indicator_10,733,10
2023.0,Laharpur,tIk5hphkbm1,t03VPkJ5UXd,7749.0,,2024.0,7b,p,249.0,Sitapur,XxaOowFtkiJ,indicator_7,733,7
2023.0,Laharpur,tIk5hphkbm1,g69FuEghiM5,7826.0,,2024.0,2d,p,249.0,Sitapur,XxaOowFtkiJ,indicator_2,733,2
2023.0,Rampur Mathura,tvZfs4DYlev,TmeumlBaObG,8264.0,,2024.0,10b,p,256.0,Sitapur,XxaOowFtkiJ,indicator_10,516,10
2023.0,Rampur Mathura,tvZfs4DYlev,t03VPkJ5UXd,7345.0,,2024.0,7b,p,256.0,Sitapur,XxaOowFtkiJ,indicator_7,516,7
2023.0,Rampur Mathura,tvZfs4DYlev,g69FuEghiM5,7419.0,,2024.0,2d,p,256.0,Sitapur,XxaOowFtkiJ,indicator_2,516,2
2023.0,Pisawan,yubhT8MSy2O,TmeumlBaObG,8415.0,,2024.0,10b,p,240.0,Sitapur,XxaOowFtkiJ,indicator_10,173,10
2023.0,Pisawan,yubhT8MSy2O,t03VPkJ5UXd,7480.0,,2024.0,7b,p,240.0,Sitapur,XxaOowFtkiJ,indicator_7,173,7
2023.0,Pisawan,yubhT8MSy2O,g69FuEghiM5,7555.0,,2024.0,2d,p,240.0,Sitapur,XxaOowFtkiJ,indicator_2,173,2
2023.0,Sakran,zghTOXwIiKT,TmeumlBaObG,7752.0,,2024.0,10b,p,252.0,Sitapur,XxaOowFtkiJ,indicator_10,471,10
2023.0,Sakran,zghTOXwIiKT,t03VPkJ5UXd,6891.0,,2024.0,7b,p,252.0,Sitapur,XxaOowFtkiJ,indicator_7,471,7
2023.0,Sakran,zghTOXwIiKT,g69FuEghiM5,6959.0,,2024.0,2d,p,252.0,Sitapur,XxaOowFtkiJ,indicator_2,471,2
2023.0,Etawah Badpura,DQKs9hxWhSr,TmeumlBaObG,4703.0,,2024.0,10b,p,340.0,Etawah,Pm0jLk6EAiE,indicator_10,508,10
2023.0,Etawah Badpura,DQKs9hxWhSr,t03VPkJ5UXd,4180.0,,2024.0,7b,p,340.0,Etawah,Pm0jLk6EAiE,indicator_7,508,7
2023.0,Etawah Badpura,DQKs9hxWhSr,g69FuEghiM5,4222.0,,2024.0,2d,p,340.0,Etawah,Pm0jLk6EAiE,indicator_2,508,2
2023.0,Etawah DHQ,H82DYZCKRwR,TmeumlBaObG,7799.0,,2024.0,10b,p,,Etawah,Pm0jLk6EAiE,indicator_10,46,10
2023.0,Etawah DHQ,H82DYZCKRwR,t03VPkJ5UXd,6933.0,,2024.0,7b,p,,Etawah,Pm0jLk6EAiE,indicator_7,46,7
2023.0,Etawah DHQ,H82DYZCKRwR,g69FuEghiM5,7002.0,,2024.0,2d,p,,Etawah,Pm0jLk6EAiE,indicator_2,46,2
2023.0,Etawah Basrehar,JBG7yZn3ZhD,TmeumlBaObG,5449.0,,2024.0,10b,p,341.0,Etawah,Pm0jLk6EAiE,indicator_10,258,10
2023.0,Etawah Basrehar,JBG7yZn3ZhD,t03VPkJ5UXd,4844.0,,2024.0,7b,p,341.0,Etawah,Pm0jLk6EAiE,indicator_7,258,7
2023.0,Etawah Basrehar,JBG7yZn3ZhD,g69FuEghiM5,4892.0,,2024.0,2d,p,341.0,Etawah,Pm0jLk6EAiE,indicator_2,258,2
2023.0,Etawah Jasventnagar,L3tm8ZCQ4VU,TmeumlBaObG,5986.0,,2024.0,10b,p,338.0,Etawah,Pm0jLk6EAiE,indicator_10,235,10
2023.0,Etawah Jasventnagar,L3tm8ZCQ4VU,t03VPkJ5UXd,5321.0,,2024.0,7b,p,338.0,Etawah,Pm0jLk6EAiE,indicator_7,235,7
2023.0,Etawah Jasventnagar,L3tm8ZCQ4VU,g69FuEghiM5,5374.0,,2024.0,2d,p,338.0,Etawah,Pm0jLk6EAiE,indicator_2,235,2
2023.0,Etawah Chkernagar,eLIy5rJdmIo,TmeumlBaObG,2532.0,,2024.0,10b,p,345.0,Etawah,Pm0jLk6EAiE,indicator_10,32,10
2023.0,Etawah Chkernagar,eLIy5rJdmIo,t03VPkJ5UXd,2250.0,,2024.0,7b,p,345.0,Etawah,Pm0jLk6EAiE,indicator_7,32,7
2023.0,Etawah Chkernagar,eLIy5rJdmIo,g69FuEghiM5,2273.0,,2024.0,2d,p,345.0,Etawah,Pm0jLk6EAiE,indicator_2,32,2
2023.0,Etawah Mahewa,g6QRDUGvU6j,TmeumlBaObG,7541.0,,2024.0,10b,p,344.0,Etawah,Pm0jLk6EAiE,indicator_10,584,10
2023.0,Etawah Mahewa,g6QRDUGvU6j,t03VPkJ5UXd,6703.0,,2024.0,7b,p,344.0,Etawah,Pm0jLk6EAiE,indicator_7,584,7
2023.0,Etawah Mahewa,g6QRDUGvU6j,g69FuEghiM5,6770.0,,2024.0,2d,p,344.0,Etawah,Pm0jLk6EAiE,indicator_2,584,2
2023.0,Etawah Saifai,kxTyOTd53rb,TmeumlBaObG,3420.0,,2024.0,10b,p,339.0,Etawah,Pm0jLk6EAiE,indicator_10,608,10
2023.0,Etawah Saifai,kxTyOTd53rb,t03VPkJ5UXd,3040.0,,2024.0,7b,p,339.0,Etawah,Pm0jLk6EAiE,indicator_7,608,7
2023.0,Etawah Saifai,kxTyOTd53rb,g69FuEghiM5,3070.0,,2024.0,2d,p,339.0,Etawah,Pm0jLk6EAiE,indicator_2,608,2
2023.0,Etawah Thakha,vVEYFNLCthf,TmeumlBaObG,4034.0,,2024.0,10b,p,342.0,Etawah,Pm0jLk6EAiE,indicator_10,130,10
2023.0,Etawah Thakha,vVEYFNLCthf,t03VPkJ5UXd,3586.0,,2024.0,7b,p,342.0,Etawah,Pm0jLk6EAiE,indicator_7,130,7
2023.0,Etawah Thakha,vVEYFNLCthf,g69FuEghiM5,3621.0,,2024.0,2d,p,342.0,Etawah,Pm0jLk6EAiE,indicator_2,130,2
2023.0,Etawah Bherthna,xraYmPK0pc5,TmeumlBaObG,6571.0,,2024.0,10b,p,343.0,Etawah,Pm0jLk6EAiE,indicator_10,186,10
2023.0,Etawah Bherthna,xraYmPK0pc5,t03VPkJ5UXd,5841.0,,2024.0,7b,p,343.0,Etawah,Pm0jLk6EAiE,indicator_7,186,7
2023.0,Etawah Bherthna,xraYmPK0pc5,g69FuEghiM5,5899.0,,2024.0,2d,p,343.0,Etawah,Pm0jLk6EAiE,indicator_2,186,2
2023.0,Lalitpur Madawara,DQg8KWOYf9m,TmeumlBaObG,5377.0,,2024.0,10b,p,395.0,Lalitpur,fagfcadhxej,indicator_10,530,10
2023.0,Lalitpur Madawara,DQg8KWOYf9m,t03VPkJ5UXd,4779.0,,2024.0,7b,p,395.0,Lalitpur,fagfcadhxej,indicator_7,530,7
2023.0,Lalitpur Madawara,DQg8KWOYf9m,g69FuEghiM5,4827.0,,2024.0,2d,p,395.0,Lalitpur,fagfcadhxej,indicator_2,530,2
2023.0,Lalitpur  DHQ,OlW82qQAtpe,TmeumlBaObG,4818.0,,2024.0,10b,p,,Lalitpur,fagfcadhxej,indicator_10,482,10
2023.0,Lalitpur  DHQ,OlW82qQAtpe,t03VPkJ5UXd,4283.0,,2024.0,7b,p,,Lalitpur,fagfcadhxej,indicator_7,482,7
2023.0,Lalitpur  DHQ,OlW82qQAtpe,g69FuEghiM5,4326.0,,2024.0,2d,p,,Lalitpur,fagfcadhxej,indicator_2,482,2
2023.0,Lalitpur Jakhaura,cBlMjL2O6oW,TmeumlBaObG,7828.0,,2024.0,10b,p,391.0,Lalitpur,fagfcadhxej,indicator_10,461,10
2023.0,Lalitpur Jakhaura,cBlMjL2O6oW,t03VPkJ5UXd,6958.0,,2024.0,7b,p,391.0,Lalitpur,fagfcadhxej,indicator_7,461,7
2023.0,Lalitpur Jakhaura,cBlMjL2O6oW,g69FuEghiM5,7028.0,,2024.0,2d,p,391.0,Lalitpur,fagfcadhxej,indicator_2,461,2
2023.0,Lalitpur Talbehat,hByPwhy4hFw,TmeumlBaObG,6554.0,,2024.0,10b,p,390.0,Lalitpur,fagfcadhxej,indicator_10,507,10
2023.0,Lalitpur Talbehat,hByPwhy4hFw,t03VPkJ5UXd,5825.0,,2024.0,7b,p,390.0,Lalitpur,fagfcadhxej,indicator_7,507,7
2023.0,Lalitpur Talbehat,hByPwhy4hFw,g69FuEghiM5,5884.0,,2024.0,2d,p,390.0,Lalitpur,fagfcadhxej,indicator_2,507,2
2023.0,Lalitpur Mahroni,hSxXTcaWSE8,TmeumlBaObG,6193.0,,2024.0,10b,p,394.0,Lalitpur,fagfcadhxej,indicator_10,377,10
2023.0,Lalitpur Mahroni,hSxXTcaWSE8,t03VPkJ5UXd,5505.0,,2024.0,7b,p,394.0,Lalitpur,fagfcadhxej,indicator_7,377,7
2023.0,Lalitpur Mahroni,hSxXTcaWSE8,g69FuEghiM5,5560.0,,2024.0,2d,p,394.0,Lalitpur,fagfcadhxej,indicator_2,377,2
2023.0,Lalitpur Birdha,ilEX3iUSCkP,TmeumlBaObG,7414.0,,2024.0,10b,p,393.0,Lalitpur,fagfcadhxej,indicator_10,660,10
2023.0,Lalitpur Birdha,ilEX3iUSCkP,t03VPkJ5UXd,6590.0,,2024.0,7b,p,393.0,Lalitpur,fagfcadhxej,indicator_7,660,7
2023.0,Lalitpur Birdha,ilEX3iUSCkP,g69FuEghiM5,6656.0,,2024.0,2d,p,393.0,Lalitpur,fagfcadhxej,indicator_2,660,2
2023.0,Lalitpur Bar,qMddUgnDzYX,TmeumlBaObG,5970.0,,2024.0,10b,p,392.0,Lalitpur,fagfcadhxej,indicator_10,714,10
2023.0,Lalitpur Bar,qMddUgnDzYX,t03VPkJ5UXd,5307.0,,2024.0,7b,p,392.0,Lalitpur,fagfcadhxej,indicator_7,714,7
2023.0,Lalitpur Bar,qMddUgnDzYX,g69FuEghiM5,5360.0,,2024.0,2d,p,392.0,Lalitpur,fagfcadhxej,indicator_2,714,2
2023.0,Tandiyanwa,DSmdrNpxWTp,TmeumlBaObG,6856.0,,2024.0,10b,p,270.0,Hardoi,MTIkUw5q5pX,indicator_10,790,10
2023.0,Tandiyanwa,DSmdrNpxWTp,t03VPkJ5UXd,6095.0,,2024.0,7b,p,270.0,Hardoi,MTIkUw5q5pX,indicator_7,790,7
2023.0,Tandiyanwa,DSmdrNpxWTp,g69FuEghiM5,6156.0,,2024.0,2d,p,270.0,Hardoi,MTIkUw5q5pX,indicator_2,790,2
2023.0,Ahirori,JNhW47eyrRv,TmeumlBaObG,8875.0,,2024.0,10b,p,272.0,Hardoi,MTIkUw5q5pX,indicator_10,477,10
