block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Tajpur,ETOgxiqqzTT,p,2023-09-01,Moradabad,YQNQoPjAIpV,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,307,51
Unnav Bichhiya,EVsunDfk1Xx,p,2023-09-01,Unnav,aT03mfdlNiF,,JSY,% JSY Incentive,36,0.8860759493670886,2.0,JSY,2024,481,7
Mathura Mant,EWInJymroFJ,p,2023-09-01,Mathura,KP2BUB1npih,,JSY,% JSY Incentive,36,0.07692307692307693,2.0,JSY,2024,590,24
Sarswan,EXoRpuAixOF,p,2023-09-01,Kaushambi,PAj0oVY0Dxu,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,483,63
Chobeypur,EbQXwXsACBg,p,2023-09-01,Kanpur Nagar,QVMRMhzVrrS,,JSY,% JSY Incentive,36,0.759825327510917,2.0,JSY,2024,835,65
Sondhi,EcaeGqA47MY,p,2023-09-01,Jaunpur,gmw76vAUMqz,,JSY,% JSY Incentive,36,0.6813186813186813,2.0,JSY,2024,270,54
Bijnor Jalilpur,EdO6OYkMy4n,p,2023-09-01,Bijnor,uCYjHW7FuGG,,JSY,% JSY Incentive,36,0.14928649835345773,2.0,JSY,2024,572,15
Mahsi,EdjW9d0OX1h,p,2023-09-01,Bahraich,iE0E3nLioFr,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,568,23
Mainpuri Barnahal,EeFlmvJs36p,p,2023-09-01,Mainpuri,XBLhrSWGytu,,JSY,% JSY Incentive,36,0.9714285714285714,2.0,JSY,2024,306,43
Sangipur,EgafD8LSM5T,p,2023-09-01,Pratapgarh,fz7bJo3egPX,,JSY,% JSY Incentive,36,0.2756183745583039,2.0,JSY,2024,236,3
Ujhani,EjPcZNiYzP2,p,2023-09-01,Budaun,eA37kyBRRuZ,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,719,58
Bankuti,Ek8aj4Sjo0n,p,2023-09-01,Basti,J1P16zQEOUT,,JSY,% JSY Incentive,36,0.0,2.0,JSY,2024,616,71
Deoria Bankata,EmKRIMSIXim,p,2023-09-01,Deoria,Tf9b9qcbghH,,JSY,% JSY Incentive,36,0.8197424892703863,2.0,JSY,2024,782,19
Meja,En85jBKx0aq,p,2023-09-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.3675675675675676,2.0,JSY,2024,325,34
