date,district,district_id,sub_indicator_id,value,quarter,year,sub_id,calc_type,division,div_map_id,map_id,indicator_id_var,district_id_num,division_id,division_id_num,indicator_id,sub_indicator_type
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,ixBYYYjxXPP,2024.0,2.0,2024,36a,p,Kanpur Nagar Division,161,164,indicator_36,13,qTT8nTiU0SH,17,36,Numerator
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,aRueVYr35yM.Ti9FJqkSK6J,5985.0,2.0,2024,36b,p,Kanpur Nagar Division,161,164,indicator_36,13,qTT8nTiU0SH,17,36,Denominator
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,dwGorjVGkD9,19.3,2.0,2024,35a,p,Kanpur Nagar Division,161,164,indicator_35,13,qTT8nTiU0SH,17,35,Numerator
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,m7ggqyMXhyL,85.9,2.0,2024,37a,p,Kanpur Nagar Division,161,164,indicator_37,13,qTT8nTiU0SH,17,37,Numerator
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,indicator_2a,3524.0,2.0,2024,2a,p,Kanpur Nagar Division,161,164,indicator_2,13,qTT8nTiU0SH,17,2,Numerator
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,GJKYhq2wR9L,7798.0,2.0,2024,7a,p,Kanpur Nagar Division,161,164,indicator_7,13,qTT8nTiU0SH,17,7,Numerator
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,B2A7x36qEry.Ti9FJqkSK6J,15413.0,2.0,2024,10a,p,Kanpur Nagar Division,161,164,indicator_10,13,qTT8nTiU0SH,17,10,Numerator
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,GXgfTS67qxe.Ti9FJqkSK6J,1833.0,2.0,2024,10b,p,Kanpur Nagar Division,161,164,indicator_10,13,qTT8nTiU0SH,17,10,Denominator
2023-09-01,Jhansi,Mq751wBMqGF,ixBYYYjxXPP,2230.0,2.0,2024,36a,p,Jhansi Division,165,166,indicator_36,75,dScoJEvslIF,15,36,Numerator
2023-09-01,Jhansi,Mq751wBMqGF,aRueVYr35yM.Ti9FJqkSK6J,3921.0,2.0,2024,36b,p,Jhansi Division,165,166,indicator_36,75,dScoJEvslIF,15,36,Denominator
2023-09-01,Jhansi,Mq751wBMqGF,dwGorjVGkD9,25.7,2.0,2024,35a,p,Jhansi Division,165,166,indicator_35,75,dScoJEvslIF,15,35,Numerator
2023-09-01,Jhansi,Mq751wBMqGF,m7ggqyMXhyL,88.4,2.0,2024,37a,p,Jhansi Division,165,166,indicator_37,75,dScoJEvslIF,15,37,Numerator
2023-09-01,Jhansi,Mq751wBMqGF,indicator_2a,2375.0,2.0,2024,2a,p,Jhansi Division,165,166,indicator_2,75,dScoJEvslIF,15,2,Numerator
2023-09-01,Jhansi,Mq751wBMqGF,GJKYhq2wR9L,4578.0,2.0,2024,7a,p,Jhansi Division,165,166,indicator_7,75,dScoJEvslIF,15,7,Numerator
2023-09-01,Jhansi,Mq751wBMqGF,B2A7x36qEry.Ti9FJqkSK6J,5790.0,2.0,2024,10a,p,Jhansi Division,165,166,indicator_10,75,dScoJEvslIF,15,10,Numerator
2023-09-01,Jhansi,Mq751wBMqGF,GXgfTS67qxe.Ti9FJqkSK6J,625.0,2.0,2024,10b,p,Jhansi Division,165,166,indicator_10,75,dScoJEvslIF,15,10,Denominator
2023-09-01,Kushinagar,xUeHwd9FQkg,ixBYYYjxXPP,940.0,2.0,2024,36a,p,Gorakhpur Division,188,189,indicator_36,70,BVzTwy4XqVX,2,36,Numerator
2023-09-01,Kushinagar,xUeHwd9FQkg,aRueVYr35yM.Ti9FJqkSK6J,5973.0,2.0,2024,36b,p,Gorakhpur Division,188,189,indicator_36,70,BVzTwy4XqVX,2,36,Denominator
2023-09-01,Kushinagar,xUeHwd9FQkg,dwGorjVGkD9,20.9,2.0,2024,35a,p,Gorakhpur Division,188,189,indicator_35,70,BVzTwy4XqVX,2,35,Numerator
2023-09-01,Kushinagar,xUeHwd9FQkg,m7ggqyMXhyL,89.0,2.0,2024,37a,p,Gorakhpur Division,188,189,indicator_37,70,BVzTwy4XqVX,2,37,Numerator
2023-09-01,Kushinagar,xUeHwd9FQkg,indicator_2a,4737.0,2.0,2024,2a,p,Gorakhpur Division,188,189,indicator_2,70,BVzTwy4XqVX,2,2,Numerator
2023-09-01,Kushinagar,xUeHwd9FQkg,GJKYhq2wR9L,9272.0,2.0,2024,7a,p,Gorakhpur Division,188,189,indicator_7,70,BVzTwy4XqVX,2,7,Numerator
2023-09-01,Kushinagar,xUeHwd9FQkg,B2A7x36qEry.Ti9FJqkSK6J,3952.0,2.0,2024,10a,p,Gorakhpur Division,188,189,indicator_10,70,BVzTwy4XqVX,2,10,Numerator
2023-09-01,Kushinagar,xUeHwd9FQkg,GXgfTS67qxe.Ti9FJqkSK6J,475.0,2.0,2024,10b,p,Gorakhpur Division,188,189,indicator_10,70,BVzTwy4XqVX,2,10,Denominator
2023-09-01,Unnav,aT03mfdlNiF,ixBYYYjxXPP,2671.0,2.0,2024,36a,p,Lucknow Division,155,156,indicator_36,18,R2NAbaekmwn,12,36,Numerator
2023-09-01,Unnav,aT03mfdlNiF,aRueVYr35yM.Ti9FJqkSK6J,5055.0,2.0,2024,36b,p,Lucknow Division,155,156,indicator_36,18,R2NAbaekmwn,12,36,Denominator
2023-09-01,Unnav,aT03mfdlNiF,dwGorjVGkD9,20.1,2.0,2024,35a,p,Lucknow Division,155,156,indicator_35,18,R2NAbaekmwn,12,35,Numerator
2023-09-01,Unnav,aT03mfdlNiF,m7ggqyMXhyL,88.7,2.0,2024,37a,p,Lucknow Division,155,156,indicator_37,18,R2NAbaekmwn,12,37,Numerator
2023-09-01,Unnav,aT03mfdlNiF,indicator_2a,3688.0,2.0,2024,2a,p,Lucknow Division,155,156,indicator_2,18,R2NAbaekmwn,12,2,Numerator
2023-09-01,Unnav,aT03mfdlNiF,GJKYhq2wR9L,6715.0,2.0,2024,7a,p,Lucknow Division,155,156,indicator_7,18,R2NAbaekmwn,12,7,Numerator
2023-09-01,Unnav,aT03mfdlNiF,B2A7x36qEry.Ti9FJqkSK6J,4434.0,2.0,2024,10a,p,Lucknow Division,155,156,indicator_10,18,R2NAbaekmwn,12,10,Numerator
2023-09-01,Unnav,aT03mfdlNiF,GXgfTS67qxe.Ti9FJqkSK6J,517.0,2.0,2024,10b,p,Lucknow Division,155,156,indicator_10,18,R2NAbaekmwn,12,10,Denominator
2023-09-01,Gonda,y8WarEkWCul,ixBYYYjxXPP,1499.0,2.0,2024,36a,p,Gonda Division,182,183,indicator_36,14,K7kAZbm3Vf3,1,36,Numerator
2023-09-01,Gonda,y8WarEkWCul,aRueVYr35yM.Ti9FJqkSK6J,5049.0,2.0,2024,36b,p,Gonda Division,182,183,indicator_36,14,K7kAZbm3Vf3,1,36,Denominator
2023-09-01,Gonda,y8WarEkWCul,dwGorjVGkD9,20.6,2.0,2024,35a,p,Gonda Division,182,183,indicator_35,14,K7kAZbm3Vf3,1,35,Numerator
2023-09-01,Gonda,y8WarEkWCul,m7ggqyMXhyL,88.5,2.0,2024,37a,p,Gonda Division,182,183,indicator_37,14,K7kAZbm3Vf3,1,37,Numerator
2023-09-01,Gonda,y8WarEkWCul,indicator_2a,4974.0,2.0,2024,2a,p,Gonda Division,182,183,indicator_2,14,K7kAZbm3Vf3,1,2,Numerator
2023-09-01,Gonda,y8WarEkWCul,GJKYhq2wR9L,9487.0,2.0,2024,7a,p,Gonda Division,182,183,indicator_7,14,K7kAZbm3Vf3,1,7,Numerator
2023-09-01,Gonda,y8WarEkWCul,B2A7x36qEry.Ti9FJqkSK6J,5946.0,2.0,2024,10a,p,Gonda Division,182,183,indicator_10,14,K7kAZbm3Vf3,1,10,Numerator
2023-09-01,Gonda,y8WarEkWCul,GXgfTS67qxe.Ti9FJqkSK6J,642.0,2.0,2024,10b,p,Gonda Division,182,183,indicator_10,14,K7kAZbm3Vf3,1,10,Denominator
2023-09-01,Fatehpur,ibLiLcaKzw2,ixBYYYjxXPP,2175.0,2.0,2024,36a,p,Prayagraj Division,172,172,indicator_36,2,jazfyzr02kh,14,36,Numerator
2023-09-01,Fatehpur,ibLiLcaKzw2,aRueVYr35yM.Ti9FJqkSK6J,4290.0,2.0,2024,36b,p,Prayagraj Division,172,172,indicator_36,2,jazfyzr02kh,14,36,Denominator
2023-09-01,Fatehpur,ibLiLcaKzw2,dwGorjVGkD9,22.8,2.0,2024,35a,p,Prayagraj Division,172,172,indicator_35,2,jazfyzr02kh,14,35,Numerator
2023-09-01,Fatehpur,ibLiLcaKzw2,m7ggqyMXhyL,91.7,2.0,2024,37a,p,Prayagraj Division,172,172,indicator_37,2,jazfyzr02kh,14,37,Numerator
2023-09-01,Fatehpur,ibLiLcaKzw2,indicator_2a,4290.0,2.0,2024,2a,p,Prayagraj Division,172,172,indicator_2,2,jazfyzr02kh,14,2,Numerator
2023-09-01,Fatehpur,ibLiLcaKzw2,GJKYhq2wR9L,5751.0,2.0,2024,7a,p,Prayagraj Division,172,172,indicator_7,2,jazfyzr02kh,14,7,Numerator
2023-09-01,Fatehpur,ibLiLcaKzw2,B2A7x36qEry.Ti9FJqkSK6J,4115.0,2.0,2024,10a,p,Prayagraj Division,172,172,indicator_10,2,jazfyzr02kh,14,10,Numerator
2023-09-01,Fatehpur,ibLiLcaKzw2,GXgfTS67qxe.Ti9FJqkSK6J,483.0,2.0,2024,10b,p,Prayagraj Division,172,172,indicator_10,2,jazfyzr02kh,14,10,Denominator
2023-09-01,Bahraich,iE0E3nLioFr,ixBYYYjxXPP,2601.0,2.0,2024,36a,p,Gonda Division,182,180,indicator_36,45,K7kAZbm3Vf3,1,36,Numerator
2023-09-01,Bahraich,iE0E3nLioFr,aRueVYr35yM.Ti9FJqkSK6J,9618.0,2.0,2024,36b,p,Gonda Division,182,180,indicator_36,45,K7kAZbm3Vf3,1,36,Denominator
2023-09-01,Bahraich,iE0E3nLioFr,dwGorjVGkD9,26.2,2.0,2024,35a,p,Gonda Division,182,180,indicator_35,45,K7kAZbm3Vf3,1,35,Numerator
2023-09-01,Bahraich,iE0E3nLioFr,m7ggqyMXhyL,88.8,2.0,2024,37a,p,Gonda Division,182,180,indicator_37,45,K7kAZbm3Vf3,1,37,Numerator
2023-09-01,Bahraich,iE0E3nLioFr,indicator_2a,8295.0,2.0,2024,2a,p,Gonda Division,182,180,indicator_2,45,K7kAZbm3Vf3,1,2,Numerator
2023-09-01,Bahraich,iE0E3nLioFr,GJKYhq2wR9L,11719.0,2.0,2024,7a,p,Gonda Division,182,180,indicator_7,45,K7kAZbm3Vf3,1,7,Numerator
2023-09-01,Bahraich,iE0E3nLioFr,B2A7x36qEry.Ti9FJqkSK6J,6066.0,2.0,2024,10a,p,Gonda Division,182,180,indicator_10,45,K7kAZbm3Vf3,1,10,Numerator
