block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Etawah DHQ,H82DYZCKRwR,p,2023-07-01,Etawah,Pm0jLk6EAiE,,JSY,% JSY Incentive,36,0.3347547974413646,2,JSY,2024,46,62
Asafpur,A8jhC64rvlS,p,2023-07-01,Budaun,eA37kyBRRuZ,,JSY,% JSY Incentive,36,0.5781710914454278,2,JSY,2024,183,58
Ballia Beruarbari,MTIyIVsTiFD,p,2023-07-01,Ballia,oNDvGBE5fLq,,JSY,% JSY Incentive,36,0.14621848739495802,2,JSY,2024,128,5
Madhouganj,iBHysCEYPjb,p,2023-07-01,Hardoi,MTIkUw5q5pX,,JSY,% JSY Incentive,36,0.9438700147710488,2,JSY,2024,212,64
Rae Bareli Rohania,c89kPtwHW5H,p,2023-07-01,Rae Bareli,lLvTDpBDY8u,,JSY,% JSY Incentive,36,0.9282700421940928,2,JSY,2024,912,59
Fatehpur Khjuha,O3U9QEmpjTV,p,2023-07-01,Fatehpur,ibLiLcaKzw2,,JSY,% JSY Incentive,36,0.10106382978723404,2,JSY,2024,292,16
Chakiya,VpPC8KPVwrC,p,2023-07-01,Chandauli,ClbehnmwSec,,JSY,% JSY Incentive,36,1.0158959537572254,2,JSY,2024,713,61
Marouri,B6BzDe4ryaa,p,2023-07-01,Pilibhit,c96jwckSd6j,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,92,29
Sandi,OG07uORb7i2,p,2023-07-01,Hardoi,MTIkUw5q5pX,,JSY,% JSY Incentive,36,0.8930390492359932,2,JSY,2024,723,64
Payagpur,m1nYwKqPcyp,p,2023-07-01,Bahraich,iE0E3nLioFr,,JSY,% JSY Incentive,36,0.43583333333333335,2,JSY,2024,727,23
Ghazipur Saidpur,OFvD8TPE8bU,p,2023-07-01,Ghazipur,dScWdMRN8PL,,JSY,% JSY Incentive,36,0.3120617110799439,2,JSY,2024,893,67
Chittaura,jNYEM4EP98K,p,2023-07-01,Bahraich,iE0E3nLioFr,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,132,23
Saharanpur Sadholi Kadeem,y5bGR23eUwH,p,2023-07-01,Saharanpur,FKYZ3JbWq84,,JSY,% JSY Incentive,36,0.5852803738317757,2,JSY,2024,877,31
Bareily DHQ,fRl1gRWCXvz,p,2023-07-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.1383754451415974,2,JSY,2024,428,56
Saharanpur Muzzafrabad,dTPUQF80iDV,p,2023-07-01,Saharanpur,FKYZ3JbWq84,,JSY,% JSY Incentive,36,0.8526200873362445,2,JSY,2024,892,31
Rae Bareli Khiaro,Q889SJwv9Ok,p,2023-07-01,Rae Bareli,lLvTDpBDY8u,,JSY,% JSY Incentive,36,0.7966804979253111,2,JSY,2024,144,59
Muzaffarnagar Sadar,xInsVC065RU,p,2023-07-01,Muzaffarnagar,MVQs2RrS1Nw,,JSY,% JSY Incentive,36,0.8950749464668094,2,JSY,2024,556,17
Rudauli,AAOPzLEjW4T,p,2023-07-01,Ayodhya,b4XkXzoGqFY,,JSY,% JSY Incentive,36,0.33905146316851664,2,JSY,2024,444,69
Bijnor Kotwali,j5nQ6oNNVnX,p,2023-07-01,Bijnor,uCYjHW7FuGG,,JSY,% JSY Incentive,36,0.6974037600716204,2,JSY,2024,537,15
Jahangir Ganj,oB6hTaKvzgv,p,2023-07-01,Ambedkar Nagar,jM27ji8tyrM,,JSY,% JSY Incentive,36,1.2333333333333334,2,JSY,2024,389,8
Unnav Asoha,CpShKssApxk,p,2023-07-01,Unnav,aT03mfdlNiF,,JSY,% JSY Incentive,36,0.9040590405904059,2,JSY,2024,107,7
Meerut Machra,qeUdKRqslg0,p,2023-07-01,Meerut,v8YGmR7nOdj,,JSY,% JSY Incentive,36,1.032085561497326,2,JSY,2024,95,30
Muzaffarnagar Jansath,IClJwvvGCfX,p,2023-07-01,Muzaffarnagar,MVQs2RrS1Nw,,JSY,% JSY Incentive,36,0.4303797468354431,2,JSY,2024,327,17
Bijnor Haldaur,R2Jott0TJjX,p,2023-07-01,Bijnor,uCYjHW7FuGG,,JSY,% JSY Incentive,36,1.5467289719626167,2,JSY,2024,544,15
City,qFq9YH9cPE2,p,2023-07-01,Mirzapur,UAicdMLyuk4,,JSY,% JSY Incentive,36,0.44606413994169103,2,JSY,2024,885,20
Firozabad Firozabad,R0tPbvDqGLH,p,2023-07-01,Firozabad,eJTsuE56XDF,,JSY,% JSY Incentive,36,0.6715548846236791,2,JSY,2024,427,27
Atrauli,O5BIieG3GQR,p,2023-07-01,Aligarh,frD2HOp3wAs,,JSY,% JSY Incentive,36,0.4546109510086455,2,JSY,2024,654,44
