block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,type_name,year,block_id_num,district_id_num
Tarabganj,QW8N7nXhELz,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,46.575196008553114,coverage,2024.0,797,2
Tarabganj,QW8N7nXhELz,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,100.0,coverage,2024.0,797,2
Katrabazar,SiNGqVJoMtb,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,43.89316121944521,coverage,2024.0,847,2
Katrabazar,SiNGqVJoMtb,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,98.89042995839114,coverage,2024.0,847,2
Colonalganj,SxFTKbP1SXZ,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,67.39279964876334,coverage,2024.0,27,2
Colonalganj,SxFTKbP1SXZ,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,89.29943836831215,coverage,2024.0,27,2
Wajeerganj,Yzv8XKcvFMn,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,50.9672131147541,coverage,2024.0,5,2
Wajeerganj,Yzv8XKcvFMn,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,100.0,coverage,2024.0,5,2
Itiathok,Zkst7ZD9ogq,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,49.124361670171226,coverage,2024.0,229,2
Itiathok,Zkst7ZD9ogq,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,95.9648058252427,coverage,2024.0,229,2
Gonda DHQ,dbHdyWgjMbk,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,100.0,coverage,2024.0,302,2
Gonda DHQ,dbHdyWgjMbk,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,83.70307167235495,coverage,2024.0,302,2
Bamanjeet,eeLkdiQv8Ex,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,46.1936936936937,coverage,2024.0,453,2
Bamanjeet,eeLkdiQv8Ex,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,100.0,coverage,2024.0,453,2
Quazeedevar,i9BEhkE3w1b,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,33.510217534607776,coverage,2024.0,110,2
Quazeedevar,i9BEhkE3w1b,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,95.39280958721704,coverage,2024.0,110,2
Rupaideeh,l9TKc1gE8KO,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,46.32502039389348,coverage,2024.0,578,2
Rupaideeh,l9TKc1gE8KO,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,100.0,coverage,2024.0,578,2
Mujhana,pgmL8MQQwKP,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,52.168657151179715,coverage,2024.0,48,2
Mujhana,pgmL8MQQwKP,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,95.35157399235071,coverage,2024.0,48,2
Hadhermau,tob7bPRXBV3,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,36.49565217391304,coverage,2024.0,87,2
Hadhermau,tob7bPRXBV3,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,90.5322325663095,coverage,2024.0,87,2
Mankapur,yRVebIQF3pX,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,38.241820233170365,coverage,2024.0,820,2
Mankapur,yRVebIQF3pX,p,2023-04-01,Gonda,y8WarEkWCul,Gonda Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,88.35148138769308,coverage,2024.0,820,2
Saidnagar,Afucmep9Fdq,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,36.933216681248176,coverage,2024.0,742,26
Saidnagar,Afucmep9Fdq,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,100.0,coverage,2024.0,742,26
Shahbad,Bgu9MPGC8NW,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,68.7051101734646,coverage,2024.0,618,26
Shahbad,Bgu9MPGC8NW,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,92.67045454545456,coverage,2024.0,618,26
Bilaspur,DNtrijn28qb,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,2,62.27909471200258,coverage,2024.0,488,26
Bilaspur,DNtrijn28qb,p,2023-04-01,Rampur,IU006h5U7jj,Moradabad Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,87.38894907908994,coverage,2024.0,488,26
