date,district,district_id,subindicator_id,value,quarter,year,sub_id,calc_type,division,div_map_id,map_id,indicator_id
2023-09-01,Unnav,aT03mfdlNiF,aRueVYr35yM.Ti9FJqkSK6J,5055.0,2,2024,36b,p,Lucknow Division,155,156,indicator_36
2023-09-01,Unnav,aT03mfdlNiF,dwGorjVGkD9,20.1,2,2024,35a,p,Lucknow Division,155,156,indicator_35
2023-09-01,Unnav,aT03mfdlNiF,m7ggqyMXhyL,88.7,2,2024,37a,p,Lucknow Division,155,156,indicator_37
2023-09-01,Unnav,aT03mfdlNiF,indicator_2a,3688.0,2,2024,2a,p,Lucknow Division,155,156,indicator_2
2023-09-01,Unnav,aT03mfdlNiF,GJKYhq2wR9L,6715.0,2,2024,7a,p,Lucknow Division,155,156,indicator_7
2023-09-01,Unnav,aT03mfdlNiF,B2A7x36qEry.Ti9FJqkSK6J,4434.0,2,2024,10a,p,Lucknow Division,155,156,indicator_10
2023-09-01,Unnav,aT03mfdlNiF,GXgfTS67qxe.Ti9FJqkSK6J,517.0,2,2024,10b,p,Lucknow Division,155,156,indicator_10
2023-09-01,Gonda,y8WarEkWCul,ixBYYYjxXPP,1499.0,2,2024,36a,p,Gonda Division,182,183,indicator_36
2023-09-01,Gonda,y8WarEkWCul,aRueVYr35yM.Ti9FJqkSK6J,5049.0,2,2024,36b,p,Gonda Division,182,183,indicator_36
2023-09-01,Gonda,y8WarEkWCul,dwGorjVGkD9,20.6,2,2024,35a,p,Gonda Division,182,183,indicator_35
2023-09-01,Gonda,y8WarEkWCul,m7ggqyMXhyL,88.5,2,2024,37a,p,Gonda Division,182,183,indicator_37
2023-09-01,Gonda,y8WarEkWCul,indicator_2a,4974.0,2,2024,2a,p,Gonda Division,182,183,indicator_2
2023-09-01,Gonda,y8WarEkWCul,GJKYhq2wR9L,9487.0,2,2024,7a,p,Gonda Division,182,183,indicator_7
2023-09-01,Gonda,y8WarEkWCul,B2A7x36qEry.Ti9FJqkSK6J,5946.0,2,2024,10a,p,Gonda Division,182,183,indicator_10
2023-09-01,Gonda,y8WarEkWCul,GXgfTS67qxe.Ti9FJqkSK6J,642.0,2,2024,10b,p,Gonda Division,182,183,indicator_10
2023-09-01,Fatehpur,ibLiLcaKzw2,ixBYYYjxXPP,2175.0,2,2024,36a,p,Prayagraj Division,172,172,indicator_36
2023-09-01,Fatehpur,ibLiLcaKzw2,aRueVYr35yM.Ti9FJqkSK6J,4290.0,2,2024,36b,p,Prayagraj Division,172,172,indicator_36
2023-09-01,Fatehpur,ibLiLcaKzw2,dwGorjVGkD9,22.8,2,2024,35a,p,Prayagraj Division,172,172,indicator_35
2023-09-01,Fatehpur,ibLiLcaKzw2,m7ggqyMXhyL,91.7,2,2024,37a,p,Prayagraj Division,172,172,indicator_37
2023-09-01,Fatehpur,ibLiLcaKzw2,indicator_2a,4290.0,2,2024,2a,p,Prayagraj Division,172,172,indicator_2
2023-09-01,Fatehpur,ibLiLcaKzw2,GJKYhq2wR9L,5751.0,2,2024,7a,p,Prayagraj Division,172,172,indicator_7
2023-09-01,Fatehpur,ibLiLcaKzw2,B2A7x36qEry.Ti9FJqkSK6J,4115.0,2,2024,10a,p,Prayagraj Division,172,172,indicator_10
2023-09-01,Fatehpur,ibLiLcaKzw2,GXgfTS67qxe.Ti9FJqkSK6J,483.0,2,2024,10b,p,Prayagraj Division,172,172,indicator_10
2023-09-01,Bahraich,iE0E3nLioFr,ixBYYYjxXPP,2601.0,2,2024,36a,p,Gonda Division,182,180,indicator_36
2023-09-01,Bahraich,iE0E3nLioFr,aRueVYr35yM.Ti9FJqkSK6J,9618.0,2,2024,36b,p,Gonda Division,182,180,indicator_36
