block_id,perc_point,indicator_id,district_id,district,block,division,type,domain,indicator,calc_type,year,quarter,date
lMDCwvmApOX,,indicator_5,Bd6E8zkVvVt,Auraiya,Auraiya DHQ,Kanpur Nagar Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
l4r3ouFQPZS,,indicator_5,vR85cHdsw1w,Gorakhpur,Belghat,Gorakhpur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
qpjXx2KEA28,,indicator_5,M5NHlfAaKYI,Ghaziabad,Ghaziabad Muradnagar,Meerut Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
vVEYFNLCthf,,indicator_5,Pm0jLk6EAiE,Etawah,Etawah Thakha,Kanpur Nagar Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
JNhW47eyrRv,,indicator_5,MTIkUw5q5pX,Hardoi,Ahirori,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
XYBTVZE0LeN,,indicator_5,frD2HOp3wAs,Aligarh,Iglas,Alligarh Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
PEDIETmpZdA,,indicator_5,dScWdMRN8PL,Ghazipur,Ghazipur DHQ,Varanasi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
yWnYeaWXCE1,,indicator_5,XBLhrSWGytu,Mainpuri,Mainpuri Kishni,Agra Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
VivEa0lrJEt,,indicator_5,dScWdMRN8PL,Ghazipur,Ghazipur Sadar,Varanasi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
XIqs5K6oAlM,,indicator_5,uEEwlAGZXWW,Farrukhabad,Baraun,Kanpur Nagar Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
QGh6NT0LgVl,,indicator_5,PAj0oVY0Dxu,Kaushambi,Chayal,Prayagraj Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
QSXk2hR3eYG,,indicator_5,b4XkXzoGqFY,Ayodhya,Mawai,Ayodhya Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
WQzG2MmpgAg,,indicator_5,c96jwckSd6j,Pilibhit,Puranpur,Bareilly Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
oJLTrPrhs93,,indicator_5,FKYZ3JbWq84,Saharanpur,Saharanpur DHQ,Saharanpur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
OmRJBPDSih0,,indicator_5,gmw76vAUMqz,Jaunpur,Jalalpur,Varanasi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
Ga0Whh9BsGr,,indicator_5,HJIS3IrQ0Nj,Bagpat,Khekra,Meerut Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
H1W08wOkXWC,,indicator_5,lLvTDpBDY8u,Rae Bareli,Rae Bareli Sarani,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
XmU9noLyhIA,,indicator_5,vVqY3DPcpHf,Bareilly,Majhganwa,Bareilly Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
Ri9nZlNp7vJ,,indicator_5,XBLhrSWGytu,Mainpuri,Mainpuri Sultanganj,Agra Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
R0tPbvDqGLH,,indicator_5,eJTsuE56XDF,Firozabad,Firozabad Firozabad,Agra Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
w3fNposwL8t,,indicator_5,ZLcx4iOVyN5,Etah,Nidholikala,Alligarh Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
xInsVC065RU,,indicator_5,MVQs2RrS1Nw,Muzaffarnagar,Muzaffarnagar Sadar,Saharanpur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
Obe6UPmf0LR,,indicator_5,CBSB9v92AwT,Maunathbhanjan,Maunathbhanjan DHQ,Azamgarh Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
sh5GrKleZLD,,indicator_5,UAicdMLyuk4,Mirzapur,Marihan Patehara,Mirzapur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
B6BzDe4ryaa,,indicator_5,c96jwckSd6j,Pilibhit,Marouri,Bareilly Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
F3H22yde6Oa,,indicator_5,XBLhrSWGytu,Mainpuri,Mainpuri Kuchela,Agra Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
C4DRedrM3Pb,,indicator_5,eJTsuE56XDF,Firozabad,Firozabad Jasrana,Agra Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
yslHqhvvXn0,,indicator_5,YQNQoPjAIpV,Moradabad,Dilhari,Moradabad Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
dQnnkXYAcff,,indicator_5,d9ZuMopgX29,Lakhimpur Kheri,Pallia,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
qmMPEkTsow1,,indicator_5,fz7bJo3egPX,Pratapgarh,Kalakaker,Prayagraj Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
dQvMLUi5rMw,,indicator_5,gmw76vAUMqz,Jaunpur,Sujanganj,Varanasi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
l9TKc1gE8KO,,indicator_5,y8WarEkWCul,Gonda,Rupaideeh,Gonda Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
J01CgvckM2C,,indicator_5,dScWdMRN8PL,Ghazipur,Ghazipur Karanda,Varanasi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
RT2WzsnRZJi,,indicator_5,PeUY1vj02UQ,Bhadohi,Sant Ravidas Nagar Deegh,Mirzapur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
tIk5hphkbm1,,indicator_5,XxaOowFtkiJ,Sitapur,Laharpur,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
BhMAwU8XZey,,indicator_5,xUeHwd9FQkg,Kushinagar,Kushinagar Motichak,Gorakhpur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
BEiGzI07UOM,,indicator_5,KP2BUB1npih,Mathura,Mathura Chatta,Agra Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
dMZKc4fIqCl,,indicator_5,cP0p8qfm3il,Siddharth Nagar,Bansi,Basti Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
yxi8x9cQDKH,,indicator_5,eA37kyBRRuZ,Budaun,Dahagawan,Bareilly Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
En85jBKx0aq,,indicator_5,tXgaew1Pd2Y,Prayagraj,Meja,Prayagraj Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
XAFh3sUMv2B,,indicator_5,uS0pNSxN3sS,Balrampur,Panchperwa,Gonda Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
Rhej6WFZaSI,,indicator_5,J1P16zQEOUT,Basti,Bhadurpur,Basti Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
tqyaSDfRN87,,indicator_5,tXgaew1Pd2Y,Prayagraj,Bahadurpur,Prayagraj Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
sGS6zRDhdsB,,indicator_5,iE0E3nLioFr,Bahraich,Bahraich DHQ,Gonda Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
Gbo5ncDmsIv,,indicator_5,NNk3JP90QZ5,Sonbhadra,Myoerpur,Mirzapur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
Dga9ieikVr5,,indicator_5,UAicdMLyuk4,Mirzapur,Jamalpur,Mirzapur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
JOYvKXzcb8E,,indicator_5,b4XkXzoGqFY,Ayodhya,Poora Bazar,Ayodhya Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
