calc_type,category,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,type,weight,year
p,Outcome Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Family Planning,Couple Accepted Modern FP ,indicator_13,171,88.41740377719341,Family Planning,5.0,2020
p,Process Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Asha Incentive,Asha Incentive percentile ,indicator_14,171,89.12187038715156,Asha Incentive,4.0,2020
p,Process Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,MDR ,Maternal Death audited ,indicator_18,171,1.4285714285714286,MDR ,3.0,2020
p,Process Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,IDSP ,RU Reporting ,indicator_20,171,74.28571428571429,IDSP ,3.0,2020
p,Outcome Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,Ayushman Bharat ,Golden Card percentile ,indicator_23,171,0.0,Ayushman Bharat ,5.0,2020
p,Process Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,BMW Management ,CHC with BMW management ,indicator_26,171,0.0,BMW Management ,1.5,2020
p,Outcome Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,HWC ,Activated HWC ,indicator_15,171,74.69879518072288,HWC ,5.0,2020
p,Outcome Indicator ,2019-04-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,LaQshya ,LaQshya certified CHC's ,indicator_21,171,0.0,LaQshya ,5.0,2020
p,Process Indicator ,2017-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,161,34.5412632549562,ante_natal,3.0,2018
p,Process Indicator ,2018-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,161,43.873939934961435,ante_natal,3.0,2019
p,Process Indicator ,2019-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,161,38.04258052675048,ante_natal,3.0,2020
p,Outcome Indicator ,2017-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,ante_natal,PW received 4 or more ANC,indicator_2,161,100.0,ante_natal,4.0,2018
p,Outcome Indicator ,2018-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,ante_natal,PW received 4 or more ANC,indicator_2,161,65.70678866985129,ante_natal,4.0,2019
p,Outcome Indicator ,2019-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,ante_natal,PW received 4 or more ANC,indicator_2,161,68.78102967513772,ante_natal,4.0,2020
p,Process Indicator ,2017-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,ante_natal,PW treated with severe anemia,indicator_3,161,40.1330376940133,ante_natal,3.0,2018
p,Process Indicator ,2018-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,ante_natal,PW treated with severe anemia,indicator_3,161,27.983951855566698,ante_natal,3.0,2019
p,Process Indicator ,2019-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,ante_natal,PW treated with severe anemia,indicator_3,161,42.604226156482014,ante_natal,3.0,2020
p,Process Indicator ,2017-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,new_born_care,HBNC visits,indicator_5,161,27.494590045684056,new_born_care,3.0,2018
p,Process Indicator ,2018-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,new_born_care,HBNC visits,indicator_5,161,28.39461883408072,new_born_care,3.0,2019
p,Process Indicator ,2019-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,new_born_care,HBNC visits,indicator_5,161,30.72094191172368,new_born_care,3.0,2020
p,Outcome Indicator ,2017-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,Immunization,Full immunization,indicator_6,161,51.36301079822147,Immunization,5.0,2018
p,Outcome Indicator ,2018-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,Immunization,Full immunization,indicator_6,161,92.06858270630319,Immunization,5.0,2019
p,Outcome Indicator ,2019-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,Immunization,Full immunization,indicator_6,161,100.0,Immunization,5.0,2020
p,Outcome Indicator ,2017-04-01,Etawah,Pm0jLk6EAiE,161,Kanpur Nagar Division,communicable_diseases,Communicable disease,indicator_7,161,100.0,communicable_diseases,5.0,2018
