block_name,block_id,calc_type,composite_index,composite_rank,count,date,district,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type_name,type_index,type_rank,year,block_id_num
Naugarh,UuA1Z7kFP5w,p,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,772.0,100.0,coverage,0.7123913941779789,88.0,2025,690
Naugarh,UuA1Z7kFP5w,p,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.5848906881656946,381.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.970146382245224,113.0,772.0,97.1065464567576,coverage,0.7123913941779789,88.0,2025,690
Naugarh,UuA1Z7kFP5w,p,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.5848906881656946,381.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.19963499408616506,468.0,772.0,1.005672609400324,quality,0.6818910554800423,633.0,2025,690
Naugarh,UuA1Z7kFP5w,p,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,communicable_diseases,1.0,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_10,1.0,1.0,772.0,100.0,coverage,0.7123913941779789,88.0,2025,690
Naugarh,UuA1Z7kFP5w,p,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.2775889175352632,28.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.2800462518059417,13.0,772.0,51.74118692242853,coverage,0.7123913941779789,88.0,2025,690
Naugarh,UuA1Z7kFP5w,p,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.2775889175352632,28.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.2751315832645847,90.0,772.0,140.32209893362617,coverage,0.7123913941779789,88.0,2025,690
Naugarh,UuA1Z7kFP5w,p,0.783154767993026,107.0,17,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,finance,0.3804056289341828,58.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_11,0.3804056289341828,58.0,772.0,4802.931003094847,coverage,0.7123913941779789,88.0,2025,690
Sakaldiha,J2ufTjaikuE,p,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC against estimated PW,1,indicator_1,1.0,1.0,766.0,100.0,coverage,0.6538703739238642,337.0,2025,808
Sakaldiha,J2ufTjaikuE,p,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women tested for Hb for 4 or more times against estimated PW,22,indicator_2,1.0,1.0,766.0,100.0,quality,0.6838654599589279,619.0,2025,808
Sakaldiha,J2ufTjaikuE,p,0.7652970888840578,328.0,50,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.8764512565751641,381.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_3,0.6993828109517862,197.0,766.0,72.68366404956994,coverage,0.6538703739238642,337.0,2025,808
