calc_type,composite_index,composite_rank,date,district_name,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type_name,type_index,type_rank,value,year,district_id_num
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,family_planning,0.2476820102710744,21.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.2607915363015057,10.0,197,20.44576807227752,coverage,5.690898393221768,7.0,20.44576807227752,2025,55
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,family_planning,0.2476820102710744,21.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.2345724842406431,36.0,197,82.96159915135428,coverage,5.690898393221768,7.0,82.96159915135428,2025,55
p,0.6273149418284834,7.0,2024-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,finance,0.5929041631770275,27.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.5929041631770275,27.0,197,5279.493269992082,coverage,5.690898393221768,7.0,5279.493269992082,2025,55
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,137,100.0,coverage,5.203247327750722,23.0,100.0,2025,33
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,delivery_care,0.7547068700318177,10.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.6312798594333423,18.0,137,74.55365836999161,coverage,5.203247327750722,23.0,74.55365836999161,2025,33
n,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,delivery_care,0.7547068700318177,10.0,Still birth ratio,4,indicator_4,0.8946293775508979,14.0,137,2.20226641009194,quality,2.093144910956124,4.0,2.20226641009194,2025,33
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,delivery_care,0.7547068700318177,10.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.3691056865556064,20.0,137,2.557286892758937,quality,2.093144910956124,4.0,13.974057145804839,2025,33
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,delivery_care,0.7547068700318177,10.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.3691056865556064,20.0,137,40.61318773624528,quality,2.093144910956124,4.0,13.974057145804839,2025,33
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,post_natal_care,0.9872511312318504,3.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,0.9872511312318504,3.0,137,99.22172332691895,coverage,5.203247327750722,23.0,99.22172332691895,2025,33
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,immunization,0.7861296806541016,4.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,1.0,1.0,137,100.0,coverage,5.203247327750722,23.0,100.0,2025,33
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,immunization,0.7861296806541016,4.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.5722593613082032,8.0,137,1.1750456280073005,quality,2.093144910956124,4.0,1.1750456280073005,2025,33
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,communicable_diseases,0.6285752427707081,13.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,137,100.0,coverage,5.203247327750722,23.0,100.0,2025,33
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,communicable_diseases,0.6285752427707081,13.0,Total case notification rate of TB against expected TB cases,10,indicator_10,0.2571504855414163,15.0,137,20.993117010816125,quality,2.093144910956124,4.0,20.993117010816125,2025,33
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,family_planning,0.09298687745392177,64.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.08427002688279889,38.0,137,7.919277703070143,coverage,5.203247327750722,23.0,7.919277703070143,2025,33
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,family_planning,0.09298687745392177,64.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.1017037280250447,65.0,137,58.62998529553162,coverage,5.203247327750722,23.0,58.62998529553162,2025,33
p,0.599811948185684,12.0,2024-04-01,Amroha,hgquAmZaNBu,134,Moradabad Division,finance,0.39874258217768577,54.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.39874258217768577,54.0,137,4844.054580896685,coverage,5.203247327750722,23.0,4844.054580896685,2025,33
p,0.5587351457279279,38.0,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,134,100.0,coverage,4.561175950245265,59.0,100.0,2025,15
p,0.5587351457279279,38.0,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,delivery_care,0.7596726582634353,8.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.6190805592574409,19.0,134,73.88577798570066,coverage,4.561175950245265,59.0,73.88577798570066,2025,15
n,0.5587351457279279,38.0,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,delivery_care,0.7596726582634353,8.0,Still birth ratio,4,indicator_4,0.9215677268247304,11.0,134,1.757703860273668,quality,1.4812948798098868,29.0,1.757703860273668,2025,15
p,0.5587351457279279,38.0,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,delivery_care,0.7596726582634353,8.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.3691848443540674,19.0,134,0.9025717111770524,quality,1.4812948798098868,29.0,13.976660304708565,2025,15
p,0.5587351457279279,38.0,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,delivery_care,0.7596726582634353,8.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.3691848443540674,19.0,134,44.48286702294876,quality,1.4812948798098868,29.0,13.976660304708565,2025,15
p,0.5587351457279279,38.0,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,post_natal_care,0.8294848835382626,22.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,0.8294848835382626,22.0,134,89.59061074646792,coverage,4.561175950245265,59.0,89.59061074646792,2025,15
p,0.5587351457279279,38.0,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,immunization,0.422258182529516,65.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.7761910735322026,29.0,134,94.2147416081599,coverage,4.561175950245265,59.0,94.2147416081599,2025,15
p,0.5587351457279279,38.0,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,immunization,0.422258182529516,65.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.06832529152682927,70.0,134,0.8668930360070598,quality,1.4812948798098868,29.0,0.8668930360070598,2025,15
p,0.5587351457279279,38.0,2024-04-01,Bijnor,uCYjHW7FuGG,134,Moradabad Division,communicable_diseases,0.5611085085521299,36.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,134,100.0,coverage,4.561175950245265,59.0,100.0,2025,15
