block,block_id,calc_type,date,district,district_id,indicator_id,map_id,quarter,sub_id,subindicator_id,value,year
Pihani,lr3CfswaZMq,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,261.0,4,36a,ixBYYYjxXPP,0.0,2023
Barkhani,pkRX2naWpN3,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,262.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,261.0,2023
Barkhani,pkRX2naWpN3,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,262.0,4,36a,ixBYYYjxXPP,0.0,2023
Hariyanwa,ruw57rtPpxr,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,269.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,164.0,2023
Hariyanwa,ruw57rtPpxr,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,269.0,4,36a,ixBYYYjxXPP,164.0,2023
Sandila,tZXCzgn6lut,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,276.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,273.0,2023
Sandila,tZXCzgn6lut,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,276.0,4,36a,ixBYYYjxXPP,204.0,2023
Bawan,tbi6Bsb6jlU,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,263.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,189.0,2023
Bawan,tbi6Bsb6jlU,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,263.0,4,36a,ixBYYYjxXPP,105.0,2023
Bharawan,wPymOYKUUFI,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,277.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,185.0,2023
Bharawan,wPymOYKUUFI,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,277.0,4,36a,ixBYYYjxXPP,364.0,2023
Kachhuna,zOlFDV0qaZN,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,274.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,157.0,2023
Kachhuna,zOlFDV0qaZN,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,274.0,4,36a,ixBYYYjxXPP,0.0,2023
Kothanwa,zR4FjrKQweN,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,273.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,303.0,2023
Kothanwa,zR4FjrKQweN,p,2023-01-01,Hardoi,MTIkUw5q5pX,indicator_36,273.0,4,36a,ixBYYYjxXPP,302.0,2023
Maunathbhanjan Badraon,DlJoJFtt9AE,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,703.0,4,36b,aRueVYr35yM.Ti9FJqkSK6J,158.0,2023
Maunathbhanjan Badraon,DlJoJFtt9AE,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,703.0,4,36a,ixBYYYjxXPP,0.0,2023
Maunathbhanjan DHQ,Obe6UPmf0LR,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2263.0,2023
Maunathbhanjan DHQ,Obe6UPmf0LR,p,2023-01-01,Maunathbhanjan,CBSB9v92AwT,indicator_36,,4,36a,ixBYYYjxXPP,137.0,2023
