calc_type,date,district,district_id,div_map_id,division,indicator_id,map_id,quarter,sub_id,subindicator_id,value,year
p,2023-01-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,indicator_36,188,4,36a,ixBYYYjxXPP,2177.0,2023
p,2023-01-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,indicator_36,188,4,36b,aRueVYr35yM.Ti9FJqkSK6J,4363.0,2023
p,2023-01-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,indicator_35,188,4,35a,dwGorjVGkD9,32.2,2023
p,2023-01-01,Gorakhpur,vR85cHdsw1w,188,Gorakhpur Division,indicator_37,188,4,37a,m7ggqyMXhyL,89.9,2023
p,2023-01-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,indicator_36,184,4,36a,ixBYYYjxXPP,541.0,2023
p,2023-01-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,indicator_36,184,4,36b,aRueVYr35yM.Ti9FJqkSK6J,5128.0,2023
p,2023-01-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,indicator_35,184,4,35a,dwGorjVGkD9,28.8,2023
p,2023-01-01,Siddharth Nagar,cP0p8qfm3il,185,Basti Division,indicator_37,184,4,37a,m7ggqyMXhyL,83.9,2023
p,2023-01-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,indicator_36,195,4,36a,ixBYYYjxXPP,1086.0,2023
p,2023-01-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,indicator_36,195,4,36b,aRueVYr35yM.Ti9FJqkSK6J,4625.0,2023
p,2023-01-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,indicator_35,195,4,35a,dwGorjVGkD9,32.8,2023
